,DOI,Title,Authors,Year,Source Title,Volume,Issue,Abstract,Author Keywords,Scopus Keywords,WOS Keywords,Source
261,10.3390/app11041894,A New Indicator to Assess Public Perception of Air Pollution Based on Complaint Data,"Sun, Y; Jin, FX; Zheng, Y; Ji, M; Wang, HM",2021,APPLIED SCIENCES-BASEL,11.0,4,"Severe air pollution problems have led to a rise in the Chinese public's concern, and it is necessary to use monitoring stations to monitor and evaluate pollutant levels. However, monitoring stations are limited, and the public is everywhere. It is also essential to understand the public's awareness and behavioral response to air pollution. Air pollution complaint data can more directly reflect the public's real air quality perception than social media data. Therefore, based on air pollution complaint data and sentiment analysis, we proposed a new air pollution perception index (APPI) in this paper. Firstly, we constructed the emotional dictionary for air pollution and used sentiment analysis to calculate public complaints' emotional intensity. Secondly, we used the piecewise function to obtain the APPI based on the complaint Kernel density and complaint emotion Kriging interpolation, and we further analyzed the change of center of gravity of the APPI. Finally, we used the proposed APPI to examine the 2012 to 2017 air pollution complaint data in Shandong Province, China. The results were verified by the POI (points of interest) data and word cloud analysis. The results show that: (1) the statistical analysis and spatial distribution of air pollution complaint density and public complaint emotion intensity are not entirely consistent. The proposed APPI can more reasonably evaluate the public perception of air pollution. (2) The public perception of air pollution tends to the southwest of Shandong Province, while coastal cities are relatively weak. (3) The content of public complaints about air pollution mainly focuses on the exhaust emissions of enterprises. Moreover, the more enterprises gather in inland cities, the public perception of air pollution is stronger.",air pollution; public perception; sentiment analysis; Kernel density; Kriging interpolation; air pollution perception index,,QUALITY; SATISFACTION; CHINA; RISK,WOS
308,10.3390/su10061970,A Questionnaire Case Study of Chinese Opinions on the Haze Pollution and Economic Growth,"Qiu, F; Wang, E; Fan, M; Liao, H; Wang, LT; Huang, ZY",2018,SUSTAINABILITY,10.0,6,"Haze pollution in China has reshaped daily life for the Chinese and led to serious health issues. At the same time, the Chinese have enjoyed the rapid economic growth that has contributed to this pollution. While questionnaire-based studies have been conducted within certain regions of China to learn the public's opinions of haze pollution, little work has been done to understand how Chinese citizens value haze treatment in relation to their nation's economic growth at a nationwide scale. To fill this knowledge gap, this project conducted a nationwide investigation of Chinese opinions on the benefits of economic growth versus the disadvantages of haze pollution, as well as their responses to efforts by the Chinese government to combat haze and to the influence of haze on Chinese daily life and on personal health. The study also sought suggestions for combatting haze. In particular, an anonymous questionnaire consisting of 29 questions was given in the summer and fall of 2017 to 1233 people of different genders, ages, child statuses, educational backgrounds, occupations, living areas (rural, suburban, and urban), and living regions. The statistical Chi squared test was then used to identify the demographic group of respondents supporting the economic slowdown policy or requesting more efforts from the Chinese government to combat haze pollution. A multivariate statistical approachprincipal component analysiswas further applied to visualize respondents' feedback on the impact of haze on their daily life and personal health, as well as the change of environment and economic conditions in the last 10 years. The results show that more than 50% of respondents, especially those with children, those between the ages of 31 to 50, and those living in high-pollution regions, supported the economic slowdown policy. Totally 40.63% of the entire group of respondents believed the government's efforts to control haze were small or very small. Only 27.84% of respondents held the opposite opinions. In total, 72.91% of respondents believed the environment in China became worse or much worse in the past 10 years; however, most responded positively to the idea of resolving the haze issue within 15 or more years. Haze has caused health issues in and around half of the respondents and has significantly reshaped their outdoor activities.",haze pollution; statistical survey; principal component analysis; Chi squared test,China; demography; economic conditions; economic growth; economic policy; environmental economics; government; haze; pollution control; principal component analysis; public health; questionnaire survey; survey method; testing method,WILLINGNESS-TO-PAY; AIR-POLLUTION; SMOG POLLUTION; PERCEPTION; CITY; COAL; EMISSIONS; IMPACTS; QUALITY,WOS
328,10.3390/su8111111,A Questionnaire Case Study to Investigate Public Awareness of Smog Pollution in China's Rural Areas,"Jiang, L; Hiltunen, E; He, XL; Zhu, LD",2016,SUSTAINABILITY,8.0,11,"Smog pollution is one of China's most pressing public health issues today and has therefore received significant attention worldwide. Not only cities but also villages in China are suffering from smog pollution, especially since 2013. However, there is limited information available about public awareness on smog pollution in China, especially for where it concerns the residents living in villages. Based on a questionnaire survey, this study aims to help fill this gap. The results of the study show that the income of the majority of respondents comes from working in the city, accounting for 31.6% of the total income. The percentages for respondents related to access to smog information from various channels are as follows: TV (28.5%), radio (24.2%), neighbors (13.5%), Internet (9.8%), newspapers (8.3%) and others (7.8%). As for attitudes regarding the severity degree and main cause of smog pollution, most respondents (33.7%) thought smog pollution in villages was somewhat severe, while 26.3% agreed that the main contributor to smog pollution was industrial emissions, followed by coal burning at power plants (20.9%) and vehicle emissions (17.7%). The results also indicate that most of the respondents were satisfied with the government's performance in terms of smog control. However, 67.9% of respondents indicated they would remain silent and not intervene when confronted by an activity that causes smog pollution. This study can help to improve an understanding of public awareness regarding smog pollution in China's rural areas and thereby activate positive public participation in smog pollution prevention and management in the search for sustainable development.",smog; public awareness; public participation; pollution; energy; governance; China,China; burning; energy market; income; industrial emission; local participation; participatory approach; performance assessment; public health; questionnaire survey; resident population; rural area; smog; state role; sustainable development; traffic emission,WILLINGNESS-TO-PAY; DYNAMICS; PM2.5,WOS
303,10.3390/ijgi13100352,A Study of the Evolution of Haze Microblog Concerns Based on a Co-Word Network Analysis,Lu H.; Rui X.; Li R.; Zhang G.; Zhang Z.; Wu M.,2024,,13.0,10,"Haze is a phenomenon caused by excessive PM2.5 (air-borne particulate matter having a diameter of fewer than 2.5 μm) and other pollutants and results from the interaction between specific climatic conditions and human activities. It significantly impacts human health, transportation, and the natural environment and has aroused widespread concern. However, the influence of haze on human mental health, being hidden and indirect, is often overlooked. When haze pollution occurs, people express their feelings and concerns about haze events on media such as Weibo. At present, few studies focus on haze public opinion, as well as the changing trends in people’s discussion of haze since its emergence, which is of great significance for haze response and resource management. Based on the perspective of topic analysis, this study explores the psychological impact of haze on people by exploring the feelings of netizens in haze public opinion and investigates the evolution of people’s concerns based on long-term public opinion data. In this study, seven typical provinces and cities in China with severe haze pollution were selected as the research area. Based on data on the “haze” theme from Weibo from 2013 to 2019, first, the microblog posts were preprocessed, and the keyword co-word network was constructed. Second, the Louvain algorithm was used to detect the topic community. Based on this, the cosine similarity was calculated to realize the temporal evolution analysis of topics. The results show that with the development and change in haze pollution, the content and intensity of the topics netizens pay attention to have changed, including five types: merger, split, survival, transformation, and rebirth/extinction. People’s attention to haze shows obvious spatial differences, and it is related to the degree of haze pollution, which is bipolar. Areas with severe haze tend to pay more attention to haze itself and its influence, while areas with light haze pay more attention to haze control. The research results can provide valuable insights for governments and relevant departments in guiding public opinion and resource allocation. © 2024 by the authors.",co-word network; haze; microblog public opinion; topic evolution; topic mining; topic similarity,,,Scopus
296,10.3390/ijerph19137907,"A Survey on the Knowledge, Attitudes, and Practices of Lebanese Physicians Regarding Air Pollution","Assi, HI; Meouchy, P; El Mahmoud, A; Massouh, A; Zerdan, MB; Alameh, I; Chamseddine, N; Kazarian, H; Zeineldine, S; Saliba, NA; Noureddine, S",2022,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19.0,13,"Introduction: Air pollution imposes a significant burden on public health. It is emerging as a modifiable risk factor for cancer, diabetes, and respiratory and cardiovascular diseases. This study aims to assess the knowledge, attitudes, and practices of Lebanese physicians regarding air pollution. Methods: This observational study uses a descriptive cross-sectional correlational design. The data were collected using a self-administered online survey that was sent to 874 potential respondents who are members of the Lebanese Order of Physicians. Data analysis was done using descriptive statistics and a chi-square test. Results: The results show a deficiency in the knowledge of physicians regarding many sources of air pollution, including dust, the smell of perfume, candles, vacuum cleaners, air fresheners, electronic cigarettes, etc. The majority of physicians agree that air pollution increases the risk of several health problems. Only 38% of physicians routinely ask their patients about exposure to air pollution, and 75% of them believe that they have a role as physicians in reducing air pollution levels. Over half of the sample are confident in counseling their patients on sources of air pollution, and two thirds of them are in support of including assessment of air pollution exposure during regular medical visits. Conclusion: Air pollution levels are progressively increasing over time. Given the health impact of exposure to air pollution, healthcare professionals need to stay up to date on this topic. The results of this study suggest the need for continuing education about air pollution for physicians and developing guidelines for what exactly to ask patients in assessing their exposure.",air pollution; physicians; Lebanon,,PARTICULATE MATTER; AMBIENT AIR; IMPACT,WOS
218,10.1186/s12199-017-0633-8,A behavioral strategy to minimize air pollution exposure in pregnant women: a randomized controlled trial,"Araban, M; Tavafian, SS; Zarandi, SM; Hidarnia, AR; Burri, A; Montazeri, A",2017,ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE,22.0,1,"Background: Pregnant women and their fetus belong to a sensitive group in response to air pollution hazards. The aim of this study was to evaluate the effectiveness of a theory-based educational program to change pollution exposure behavior in pregnant women. Methods: In this randomized controlled trial, pregnant women attending a prenatal clinic in Tehran, Iran were selected and randomized into the experimental and control groups. The inclusion criteria were age between 18 and 35 years, having a history of pregnancies without adverse outcomes and not suffering from chronic diseases. Data collected at baseline and 2-month follow-up. At baseline face-to-face interviews were conducted using a valid and reliable questionnaire including items on demographic characteristics, stages of change, self-efficacy, decisional balance and practice regarding air pollution preventive behaviors. The intervention composed of three parts: motivational interviewing, a booklet and daily small message service (SMS). The control group received no intervention except receiving usual care. Follow-up data were collected after the intervention. Data were analyzed performing t-test, Mann-Whitney U test, and chi-squared. Results: In all the data for 104 pregnant women (53 in the intervention and 51 in the control group) were analyzed. The mean age of participants was 27.2 (SD = 4.11) years and it was 22.89 (SD = 8.75) weeks for gestational age. At baseline there were no significant statistical differences between intervention and control groups on the study measures while we found significant group differences in terms of stages of change, self-efficacy, perceived benefits and practice regarding air pollution preventive behaviors at follow-up assessment (P < 0.05). Conclusion: The findings indicated that the TTM-based intervention was effective in increasing air pollution preventive behaviors among pregnant women. This study provided a framework to modify some psychosocial determinants of air pollution preventive behavior other than knowledge using constructs of Transtheoretical model of behavior change, additionally results suggests the importance of education and makes enlightenment of the air pollution risk knowledge accelerate.",Air pollution; Pregnancy; Behavior; Transtheoretical model; Randomized controlled trial,,SMOKING-CESSATION; TRANSTHEORETICAL MODEL; HEALTH; INTERVENTION; STAGE,WOS
68,10.1016/j.envres.2017.05.012,"A comparison of individual exposure, perception, and acceptable levels of PM2.5 with air pollution policy objectives in China","Huang, L; Rao, C; van der Kuijp, TJ; Bi, J; Liu, Y",2017,ENVIRONMENTAL RESEARCH,157.0,,"Atmospheric pollution has emerged as a major public health issue in China Public perception and acceptable risk levels of air pollution can prompt individual behavioral changes and play a major role in the public's response to health risks. Therefore, to explore these responses and evaluate what constitutes publicly acceptable concentrations of fine particulate matter (PM2.5), questionnaire surveys were conducted in three representative cities of China: Beijing, Nanjing, and Guangzhou. Great differences in public risk perception were revealed. Public perception of the health effects of air pollution (Effect) and familiarity with it (Familiarity) were significantly higher in the winter than in the summer, and also during severe haze days compared with typical days. The public perception of trust in the government (Trust) was consistent across all conditions. Exposure to severe haze pollution and experiencing harms from it were key factors influencing public willingness to respond to haze. These results reflected individual exposure levels correlating closely with risk perception and acceptance of PM2.5. However, a crucial gap exists between public acceptable risk levels (PARL) of air pollution and the policy objectives of the State Council's Action Plan. Thus, policymakers can utilize this study to develop more targeted measures to combat air pollution.",Atmospheric pollution; Risk perception; PM2.5 exposure; PARL; Action Plan,,NONEXPECTED UTILITY; PUBLIC PERCEPTION; HEALTH-RISK; ANNOYANCE; RESIDENTS; ATTITUDES; PEOPLE; ADULTS; POWER; CARE,WOS
140,10.1080/09640561003613179,A longitudinal study of the links between Local Air Quality Management and Local Transport Planning policy processes in England,"Olowoporoku, AO; Hayes, ET; Leksmono, NS; Longhurst, JWS; Parkhurst, GP",2010,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,53.0,3,"The second round of the Local Transport Plan (LTP2) process in England presents unique challenges and opportunities for integrating Local Air Quality Management (LAQM) within current transport planning policy. Using content analysis of LTP2 documents from nine English authorities, and results from a questionnaire survey of local government officers undertaken in late 2007, this paper charts the changes in the integration of air quality management within the transport planning process since 1997. While substantial improvements in policy integration were observed within the selected case studies, the paper demonstrates that such improvements are often constrained by institutional complexities that create implementation gaps between national objectives and local decision-making outcomes.",Local Air Quality Management (LAQM); Local Transport Plan (LTP); Air Quality Objectives (AQO); policy integration; institutional complexities and inter-professional engagement,England; United Kingdom; air quality; atmospheric pollution; decision making; environmental management; implementation process; local government; policy approach; pollution policy; questionnaire survey; transportation planning,INTEGRATION; PLANS; UK,WOS
258,10.3389/fpubh.2023.1252804,"A psycho-social-environmental lens on radon air pollutant: authorities', mitigation contractors', and residents' perceptions of barriers and facilitators to domestic radon mitigation","Hevey, D; Perko, T; Martell, M; Bradley, G; Apers, S; Rovenská, KN",2023,FRONTIERS IN PUBLIC HEALTH,11.0,,"Introduction: Radon is a major indoor air pollutant that poses a significant risk of lung cancer to those exposed in their homes. While mitigation of high radon levels in homes has been shown to be effective, home mitigation rates remain low. This study examines the barriers and facilitators to radon mitigation in homes from the perspectives of authorities responsible for radon risk management, the mitigation industry (contractors), and residents in four European countries (Belgium, Ireland, Slovenia, and the UK) with high radon risks and low mitigation rates. Methods: A multi-method approach was used to gather data from various stakeholders, including online surveys, content analysis of legal documents, group interviews, workshops, and focus groups. Results: Authorities, contractors, and residents identified various facilitators to radon mitigation, including legal requirements for mitigation, awareness campaigns, low mitigation costs, availability of financial support, accreditation of mitigation contractors, and a perception of radon as a health threat. However, barriers to mitigation were also identified, such as a lack of awareness, fragmented mitigation processes, and inadequate communication between stakeholders. Discussion: The study highlights the complexity of the radon mitigation process and suggests that interventions aimed at increasing mitigation rates should target stakeholders beyond just residents, such as constructors, health professionals, and policy makers. An integrated approach to radon mitigation, from policy to provision, is necessary to effectively lower levels of this indoor air pollutant.",radon; lung cancer; risk; mitigation; barriers; facilitators,,INDOOR RADON; HEALTH; KNOWLEDGE; RISK; AWARENESS; BEHAVIOR,WOS
181,10.1097/MD.0000000000026675,A survey of PM2.5 preventive behavioral intention and related factors among community elderly in Northern Taiwan,"Weng, YL; Liang, CC; Tseng, CC; Lee, SY; Yeh, GL",2021,MEDICINE,100.0,29,"Population aging and air pollution are global concerns. The purpose of this study is to explore the relationship among particulate matter with a diameter of 2.5 mu m or less (PM2.5) knowledge, PM2.5 preventive attitude, and PM2.5 preventive behavioral intention in the elderly. A cross-sectional survey design was applied in this study, including usage intention and snowball sampling. A total of 617 elderly people aged over 65 participated, and the collected data were quantitatively analyzed. The results showed that the mean score of PM2.5 knowledge of the elderly was 10.34 (79.53%) with the standard deviation (SD) of 3.42, the mean score of PM2.5 preventive attitude was 4.58 (91.60%) with SD of 0.49, and the mean score of PM2.5 preventive behavioral intention was 4.72 (94.40%) with SD of 0.40. Elderly people's characteristics regarding PM2.5 knowledge and PM2.5 preventive attitude explained 22% (adjusted R-2 = 0.22, F = 30.44, P < .001) of the variance in PM2.5 preventive behavioral intention. It is concluded that we found no difference in PM2.5 knowledge, PM2.5 preventive attitude, or PM2.5 preventive behavioral intention among the elderly with or without chronic diseases. In our opinion, health education regarding the threat of PM2.5 to the health of the elderly should be strengthened, to enhance their knowledge, preventive attitude, and preventive behavioral intention of PM2.5.",knowledge; particulate matter; preventive attitude; preventive behavioral intention,,AMBIENT AIR-POLLUTION; RISK,WOS
