GADM_ID;GADM_ISO;GADM_NAME;DEGURBA_L1;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030
1;ABW;Aruba;UC;0;0;0;0;0;0;0;0;0;56903.19755;58101.1546;58999.2113
1;ABW;Aruba;UCL;52003.14999;54610.18909;57637.15222;58891.59682;71284.55815;83390.77082;88658.31016;94573.51718;99143.75808;45177.75498;43578.17379;41296.8827
1;ABW;Aruba;RUR;8711.849928;7656.810972;6840.847741;6820.403104;5765.441832;5710.229191;5824.68984;5767.482846;5113.241877;4504.047416;4363.671584;4627.905953
2;AFG;Afghanistan;UC;2835380.684;2985645.884;2623871.991;2806825.25;4399706.643;5659209.757;7774371.07;9550691.366;12301849.59;15446552.16;19349497.13;24368338.56
2;AFG;Afghanistan;UCL;4693600.214;4779604.43;3566973.364;3557222.011;6650570.985;8334396.721;10705662.04;12540383.73;15329083.74;17386015.16;19044256.3;19792979.4
2;AFG;Afghanistan;RUR;4656187.802;4751596.599;4357494.165;4369940.632;5403119.06;5581389.274;5956894.063;6117843.68;6129630.398;6133350.495;6100291.877;6131415.762
3;AGO;Angola;UC;2812481.206;3421875.931;4285053.259;5458780.183;6553060.278;8026731.183;9926136.01;12909943.62;17058404.12;21164204.1;25186870.96;29789717.76
3;AGO;Angola;UCL;1595670.933;1897939.037;2275353.681;2438889.324;2875724.832;3169216.009;3431488.934;3670636.419;3775713.182;3967231.927;4309905.58;4628009.948
3;AGO;Angola;RUR;2625811.808;3012043.944;3412105.119;3933779.061;4487068.712;5202565.469;6097507.229;6787527.195;7297260.066;8299262.85;9445695.337;10488464.24
4;AIA;Anguilla;UC;0;0;0;0;0;0;0;0;0;0;0;0
4;AIA;Anguilla;UCL;0;0;0;0;0;0;0;0;5137.308777;5164.765858;5596.041677;5833.908125
4;AIA;Anguilla;RUR;6463.000004;6560.000005;6906.999999;8316.000006;9601.00001;11047;12128;13172.00001;9387.691221;10420.23415;10369.95833;10221.0919
5;ALA;Aland;UC;0;0;0;0;0;0;0;0;0;0;0;0
5;ALA;Aland;UCL;9921.40813;10107.9931;10532.49576;10535.63484;11004.99617;11236.18522;11625.31478;12143.12032;12612.68597;13495.77352;13845.29641;14199.80429
5;ALA;Aland;RUR;14695.3737;14944.22406;15565.9552;15580.80942;16221.25199;16604.66951;17308.33554;18338.06355;19198.40561;19249.83275;19863.54336;20468.06036
6;ALB;Albania;UC;532866.5546;417772.9172;391896.1314;588999.4703;777050.4801;884726.6537;970332.2829;1011429.421;1132231.05;1270618.083;1403008.351;1543910.93
6;ALB;Albania;UCL;692750.5813;975488.4093;1176096.646;1129662.399;1051435.232;946503.3111;824949.9971;792272.3989;748128.2409;676084.0332;597553.6306;510286.3795
6;ALB;Albania;RUR;1420876.667;1545814.098;1601897.898;1575040.1;1454877.869;1350070.79;1236856.184;1109362.912;1001896.93;919993.9354;820974.2028;735390.5716
7;AND;Andorra;UC;0;0;0;0;0;0;0;0;0;0;0;0
7;AND;Andorra;UCL;19025.57051;24997.55514;31469.04927;42753.6058;48329.22835;49412.63856;63712.5951;55255.79133;53696.46749;57096.13367;57993.81114;58523.18224
7;AND;Andorra;RUR;8588.133926;10575.83783;12288.15561;10740.61827;14479.9174;16543.38266;15922.43916;16111.9003;17902.74075;20444.06443;22438.17997;22798.16601
8;ARE;United Arab Emirates;UC;140677.1942;374943.5621;537013.0001;949768.9387;1248613.469;1878765.409;2731920.485;6172100.502;6578770.594;6745126.723;7023127.01;7167223.556
8;ARE;United Arab Emirates;UCL;227793.225;421452.0322;577212.7627;633009.5937;816245.1863;983262.1424;1043586.371;1530845.488;1488499.387;1573350.066;1592641.531;1728973.682
8;ARE;United Arab Emirates;RUR;170374.8102;207916.0668;252665.136;300194.3972;351211.4303;393891.616;482576.1238;719405.6096;798542.1148;919129.4964;997754.7332;1054519.498
9;ARG;Argentina;UC;13925146.96;15701403.34;17371273.11;19109028.11;20823295.1;22520804.34;24115123.53;25734239.42;27449976.36;28817087.19;29784153.82;30741298.08
