ID;Title;Authors;Abstract;Author.Keywords;Scopus.Keywords;WOS.Keywords;Perceptions;Behavior;Policy;Health;Priority;Inclusion;reader
6;How Does Low Relative Humidity Affect Perceived Air Quality, Thermal Comfort and Symptoms in Modern Office Buildings in Cold Climates?;"Lind, M; Holos, S; Thunshelle, K; Yang, A; Mysen, M";To assess how people are influenced by relative humidity (RH) in cold climates, a study was conducted in an open office landscape in Oslo, Norway. The study took place during three cold days in February 2017. Fourteen subjects were blindly exposed to different levels of RH in the order of low (14 +/- 1%), high (38 +/- 3%), and medium (24 +/- 4%). The subjects received emails twice a day (at 12:00 and at 14:30) with a link to a webpage where they were asked to: (1) assess perceived air quality (PAQ), (2) respond to a questionnaire about indoor environment quality and symptoms. The subjects performed normal office activity in between the two sessions. We found no significant impact of the level of RH on PAQ. Nevertheless, there were significantly more complaints about dry air at low RH than at medium and high RH. Furthermore, the air was perceived to be significantly more stuffy and heavier at high RH than at medium RH. There were no significant differences in thermal comfort at different RH, yet more people complained that it was cold on the day with low RH and warm on the day with high RH. Generally, there were few complaints related to symptoms at different RH. There were however significantly more complaints of itching and burning in the eyes at low RH than at medium and high RH.;"Relative humidity; Perceived air quality; Thermal comfort; Dry air; Symptoms";;"INDOOR; TEMPERATURE; IMPACT";0;0;0;0;0;0;Andina
15;Health protection and climate change require ambitious limit values for air pollutants in Europe. Opinion on the revision of the Directive on Air Quality and Clean Air for Europe of the Environmental Public Health commission of the Robert Koch Institute and the Federal Environment Agency;"Peters, A; Herr, C; Bolte, G; Heutelbeck, A; Hornberg, C; Kraus, T; Lakes, T; Matzarakis, A; Novak, D; Reifegerste, D; Traidl-Hoffmann, C; Zeeb, H; Schneider, A; Hoffmann, B";Based on scientific findings, the World Health Organization (WHO) has recommended stricter guideline values for air quality in 2021. Significant reductions in the annual mean values of particulatematter (particle size 2.5 mu m or smaller, PM2.5) and long-term exposure to nitrogen dioxide (NO2) and ozone (O-3) were put forward. The risk of mortality already increases above the WHO guideline values, as shown in studies investigating low concentrations of air pollutants. In Germany, the 2021 WHO guideline values for PM2.5 and NO2 were clearly exceeded in 2022. In this position paper we give the following recommendations for the European Air Quality Directive: (1) set binding limit values according to WHO 2021, (2) apply the limit values to the whole of Europe, (3) continue and expand the established country-based monitoring networks, (4) expand air quality measurements for ultrafine particles and soot particles, and (5) link air pollution control and climate protectionmeasures. Stricter limits for air pollutants require societal and political changes in areas such as mobility, energy use and generation, and urban and spatial planning. Implementation according to WHO 2021 would lead to a net economic benefit of 38 billion euros per year. Ambitious limit values for air pollutants also have an impact on climate changemitigation and its health impacts. The Environmental Public Health commission concludes that more ambitious limit values are crucial to enable effective health protection in Germany and calls for air pollutant limit values in line with the 2021 WHO recommendations to become binding in Europe.;"Air pollutants; Air quality; Health protection; Climate change; Burden of disease";"Air Pollutants; Air Pollution; Climate Change; Europe; Germany; Nitrogen Dioxide; Particulate Matter; Public Health; nitrogen dioxide; air pollutant; air pollution; climate change; Europe; Germany; particulate matter; prevention and control; public health";;0;0;0;0;0;0;Andina
38;Investigation of NO2 Behaviour in the Temperate Continental Climate Road Environment;"Sereviciene, V; Baltrenas, P; Baltrenaite, E; Marciulaitiene, E; Paliulis, D";During an extended period from 2010-2012 ambient air quality researches, concentration of nitrogen dioxide (NO2) in the air was measured applying the passive method. In order to evaluate the spatial distribution of pollutants and the major sources, 12 sampling sites across the region were chosen. Additionally, the seasonal changes of this pollutant under different meteorological conditions (air temperature, humidity, wind speed and direction) were investigated. The long-term study showed 3.8 times higher NO2 concentrations in the Mazeikiai urban area (24.2 mu g m(-3)) as compared to other locations in the region (6.3 mu g m(-3)). This confirms the assumption that the main source of NO2 in this area is motor vehicle exhaust fumes. The analysis of the results obtained in different seasons showed a significant difference (p<0.05) in NO2 concentrations under different meteorological conditions. The increase in NO2 concentrations was recorded in the winter and late autumn seasons, due to reduced solar radiation and lower temperatures. Cluster analysis results showed that sampling sites can be grouped into different classes based on NO2 main source, motor vehicles and traffic intensity.;"Air pollution; Crude oil refinery; Nitrogen dioxide; Passive samplers; Seasonal variation";;"AMBIENT NITROGEN-DIOXIDE; AIR-QUALITY; PASSIVE SAMPLERS; STACK EMISSIONS; POLLUTION; URBAN; POLLUTANTS; REFINERY; VICINITY; COMPLEX";0;0;0;0;0;0;Andina
49;Is there a stronger willingness to pay for air quality improvement with high education: new evidence from a survey in China;"Hu, L; Liao, WM";As a developing country with the largest population and serious environmental pollution in the world, China has made great efforts in air pollution. Air quality improvement depends not only on government administrative regulations but also on public support, especially how much the public is willing to pay for air quality improvement. Higher education will encourage the public to take action to improve air quality. However, the confirmation of the causality relationship between WTP and education has been missing. This study uses the Chinese General Social Survey (CGSS) to find the relationship between the two, and the conclusions are drawn: OLS regression model and instrumental variable both determine the positive influence of education level on air quality improvement WTP, and Heckman model further verifies the robustness of the conclusion. The positive influence of education level is greater in the groups of men, higher income, higher awareness of acid rain, and more air purifiers, and it has a greater impact on married people in rural areas than in urban areas. The function mechanism of education can improve residents' WTP by increasing regional GDP, promoting urbanization level, expanding afforestation areas, decreasing private car ownership and the number of newly registered civil cars, and reducing sulfur dioxide emissions, nitrogen oxides, and smoke (powder) dust. The total social and economic value of air quality improvement in China is 34.572 billion CNY to 672.42 trillion CNY.;"Air quality improvement; Willingness to pay; Education level; Instrumental variable; Compulsory education law";"Air Pollution; China; Educational Status; Environmental Pollution; Humans; Male; Quality Improvement; China; air quality; atmospheric pollution; emission control; higher education; rural area; urbanization; willingness to pay; air pollution; China; educational status; human; male; pollution; total quality management";"POLLUTION; VALUATION; EMISSIONS; HEALTH";0;0;1;0;0;1;Andina
143;Influence of travel behaviour and daily mobility on exposure to traffic-related air pollution;"Shekarrizfard, M; Minet, L; Miller, E; Yusuf, B; Weichenthal, S; Hatzopoulou, M";This study evaluates the daily exposure of urban residents across various commuting modes and destinations by intersecting data from a travel survey with exposure surfaces for ultrafine particles and black carbon, in Toronto, Canada. We demonstrate that exposure misclassification is bound to arise when we approximate daily exposure with the concentration at the home location. We also identify potential inequities in the distribution of exposure to traffic-related air pollution whereby those who are mostly responsible for the generation of traffic-related air pollution (drivers and passengers) are exposed the least while active commuters and transit riders, are exposed the most.;"Traffic; Air pollution; Exposure; Mobility; Land-use regression; Ultrafine particles; Black carbon";"Air Pollutants; Air Pollution; Canada; Environmental Exposure; Particulate Matter; Soot; Vehicle Emissions; Canada; Ontario [Canada]; Toronto; black carbon; atmospheric pollution; black carbon; concentration (composition); land use; pollution exposure; regression analysis; traffic emission; adult; Article; Canada; clinical evaluation; cohort analysis; comparative study; driver; dust exposure; environmental exposure; exhaust gas; female; home; human; male; middle aged; mobilization; particulate matter; priority journal; toxic concentration; traffic pollution; travel; urban population; air pollutant; air pollution; analysis; environmental exposure; exhaust gas; soot; toxicity";HEALTH;0;0;0;0;0;0;Andina
174;Roles of socio-physical environments on air quality control policy with respect to knowledge, attitude and intention;"Nguyen, KLP; Chuang, YH; Yu, RF; Chen, CY; Chen, HW";Human behavior altered in different socioeconomic conditions is the main contributor to deteriorating air quality, therefore changing the behavior is the goal of air policies. In this study, we propose an integrated framework to figure out the roles of socio-physical environments in promoting air quality control policies through behavioral perspectives. The study selects Changhua County in Central Taiwan, composed of 26 cities and townships, as a case study to investigate the impacts of social and economic factors and the air quality on individual's knowledge, attitude and behavioral intention. The socioeconomic and environmental factors are collected from Taiwanese official information, while the knowledge, attitude, and intention toward the policies are obtained through questionnaires. Subsequently, multivariate analysis techniques including principal component analysis and redundancy analysis are utilized to simultaneously identify the causal relationships between socio-physical environments and the knowledge, attitude, and intention in different townships. Our findings suggest that individual's knowledge, attitude, and intention toward the air polices cannot be raised simply in commensurate with the growth of the economy and the deterioration of air quality. Indeed, people living in highly urbanized regions and being well-educated, particularly in Changhua City, are less willing to take actions for air quality improvement although they are susceptible to environmental risks. On the contrary, people close to nature have more environmental knowledge, positive attitudes and more intentions to improve the air quality. The finding results will be beneficial to authorities in each city/township to organize environmental education plans corresponding to their socioeconomic conditions and behavioral patterns. (C) 2021 Elsevier Ltd. All rights reserved.;"Redundancy analysis; Air quality control policy; Social and economic context; Determinants of health; VOCs; Pro-environmental behavior";"Air quality; Behavioral research; Deterioration; Economics; Multivariant analysis; Surveys; Air quality improvement; Environmental education; Environmental factors; Environmental knowledge; Integrated frameworks; Multivariate analysis techniques; Socio-economic conditions; Socio-physical environment; Quality control";;1;1;1;0;0;1;Andina
302;When Do Governments Support Common Goods for Health? Four Cases on Surveillance, Traffic Congestion, Road Safety, and Air Pollution;"Bump, JB; Reddiar, SK; Soucat, A";Common goods such as air, water, climate, and other resources shared by all humanity are under increasing pressure from growing population and advancing globalization of the world economy. Safeguarding these resources is generally considered a government responsibility, as common goods are vulnerable to market failure. However, governments do not always fulfill this role, and face many challenges in doing so. This observation-that governments only sometimes address common goods problems-informs the central question of this paper: when do governments act in support of common goods? We structure our inquiry using a framework derived from three theories of agenda setting, emphasizing problem perception, the role of actors and collective action patterns, strategies and policies, and catalyzing circumstances. We used a poll of experts to identify important common goods for health: disease surveillance, environmental protection, and accountability. We then chose four historical cases for analysis: the establishment of the Epidemic Intelligence Service in the US, transport planning in London, road safety in Argentina, and air quality control in urban India. Our analysis of the collective evidence of these cases suggests that decisions to advance government action on common goods require a concisely articulated problem, a well-defined strategy for addressing the problem, and leadership backed by at least a few important groups willing to cooperate. Our cases reveal a variety of collective action patterns, suggesting that there are many routes to success. We consider that the timing of an intervention in support of common goods depends on favorable circumstances, which can include a catalyzing event but does not necessarily require one.;"collective action; common goods; global health history; government failure; public health";"Air Pollution; Argentina; Government Programs; Humans; India; London; Population Surveillance; Safety; Social Justice; United States; adverse event; air pollution; Argentina; England; government; health survey; human; India; legislation and jurisprudence; procedures; safety; social justice; United States";"DISEASE; TIME; EPIDEMIC; FAILURE";0;0;1;0;1;1;Andina
414;Associations between Parents' Perceived Air Quality in Homes and Health among Children in Nanjing, China;"Qian, H; Zheng, XH; Zhang, M; Weschler, L; Sundell, J";The increasing prevalence of respiratory diseases in Chinese children has focused attention on indoor environmental quality. We investigated associations between perceived air quality in domestic environments and children's allergic diseases with a questionnaire survey study. A total of 4017 children aged 1-8 years old from 23 kindergartens in urban, suburban and industrial areas in Nanjing were randomly recruited for this study. Parents' perceived odors, including stuffy odor, unpleasant odor, pungent odor, moldy odor, humid air and dry air were found to be associated with asthma, wheeze, dry cough and rhinitis (P < 0.05). Both perceived dry and humid air were found to be positively associated with dampness indices, and we present evidence that the sensation of dryness may not be due to the actual indoor relative humidity, but rather to indoor air irritants. Parents' perception of odors and relative humidity may be indicators of environment pollutants, which are likely the real factors associated with children's allergic diseases.;;"Air Pollution, Indoor; Child; Child, Preschool; China; Female; Health Status; Humans; Humidity; Hypersensitivity; Infant; Male; Odorants; Parents; Perception; Prevalence; Surveys and Questionnaires; fragrance; air pollutant; air quality; Article; asthma; child; child health; China; controlled study; coughing; dry mass; female; home environment; human; humidity; industrial area; male; odor; respiratory tract allergy; rhinitis; urban area; wheezing; child; health status; hypersensitivity; indoor air pollution; infant; parent; perception; preschool child; prevalence; psychology; questionnaire";"ENVIRONMENTAL TOBACCO-SMOKE; INDOOR-AIR; ALLERGIC SYMPTOMS; BUILDING CHARACTERISTICS; RESPIRATORY HEALTH; VENTILATION RATES; VOC EMISSIONS; BIRTH-COHORT; HOUSE-DUST; ASTHMA";1;0;0;1;0;1;Andina
453;UNINTENDED BENEFITS: LEADERSHIP SKILLS AND BEHAVIORAL CHANGE AMONG GUATEMALAN FIELDWORKERS EMPLOYED IN A LONGITUDINAL HOUSEHOLD AIR POLLUTION STUDY;"Kuo, D; Thompson, LM; Lee, A; Romero, C; Smith, KR";The RESPIRE and CRECER studies measured the effects of reduced household air pollution (HAP) from wood-fired cookstoves on respiratory health in rural highland Guatemala. This article examines behavior change and leadership skill development in local community members who were hired as fieldworkers to assist with research. Fieldworkers administered household questionnaires, shared functions similar to community health workers, and bridged health resources to communities. A mixed-methods design for data collection (in-depth interviews, focus groups, impact drawings, knowledge questionnaire, and retrospective pre-test) was used. Purposive sampling included 10 fieldworkers and 13 local service providers. Fieldworkers showed an increase in knowledge, positive attitudes, and practices around HAP. They developed new technical, interpersonal, and leadership skills. Fieldworkers played a crucial role in building confianza (trust) with the community, bridging resources, and improving outside researchers' relationships with locals. Recommendations for future researchers include inclusion of additional training courses and adoption of community participatory approaches.;;"Adult; Air Pollution, Indoor; Carbon Monoxide; Community Health Workers; Cooking; Female; Guatemala; Health Knowledge, Attitudes, Practice; Health Promotion; Humans; Leadership; Longitudinal Studies; Male; Middle Aged; Power (Psychology); Research Personnel; Steam Bath; carbon monoxide; adult; article; attitude to health; behavior; cooking; female; Guatemala; health auxiliary; health promotion; human; indoor air pollution; leadership; longitudinal study; male; middle aged; personnel; sauna";"COMMUNITY-HEALTH WORKERS; PARTICIPATORY RESEARCH; ENVIRONMENTAL JUSTICE; RESPIRATORY SYMPTOMS; EMPOWERMENT THEORY; WOMEN; YOUTH; EDUCATION; EXPOSURE; CHILDREN";1;1;0;0;0;1;Andina
112;The 'advancedness' of knowledge in pollution-saving technological change with a qualitative application to SO2 cap and trade;Grover D.;This paper investigates the extent to which 'advanced' knowledge and technology played a role in the SO2 compliance process in electric power plants under the US SO2 cap and trade program. It investigates the hypothesis that advanced knowledge and technology dedicated to pollution abatement played a minor role in that process while relatively unadvanced forms of knowledge and technology played the main role. New qualitative evidence in this somewhat well-known case is considered: interviews with electric power plant R&D managers, plant-level compliance data, and the changes undergone by boiler manufacturer, coal mining and railroad companies in the supply chain. Advanced knowledge dedicated to pollution abatement like the type now being emphasised for carbon capture and storage (CCS) played a minor role, while unadvanced knowledge and technology played the main role. While there are clearly limits to how far this unadvanced knowledge and technology finding can be generalised to GHG emission control, the specific aspects of the SO2 case that might be broadly informative of the response to GHG emissions are elaborated. In any case, the paper shows how 'innovation' in pollution control can be inexpensive and effective without involving very much advanced knowledge and technology for pollution control. © 2013 Elsevier B.V.;"Air pollution; Innovation; Knowledge; Supply chain; Technological change";"United States; atmospheric pollution; carbon sequestration; ecological economics; greenhouse gas; innovation; knowledge; pollution control; power plant; questionnaire survey; trade-off";;0;0;0;0;0;0;Andina
