"ID","Perceptions","Priority","Policy","Health","Behavior","None","reader"
3,1,1,1,1,0,0,"ChatGPT"
4,1,0,1,0,1,0,"ChatGPT"
7,1,0,0,1,1,0,"ChatGPT"
8,0,0,0,0,1,0,"ChatGPT"
9,1,0,1,1,1,0,"ChatGPT"
10,0,0,0,1,0,0,"ChatGPT"
11,0,0,0,0,1,0,"ChatGPT"
12,0,0,0,1,1,0,"ChatGPT"
14,0,0,0,1,0,0,"ChatGPT"
17,1,0,0,1,1,0,"ChatGPT"
18,1,0,0,0,0,0,"ChatGPT"
19,1,1,1,0,0,0,"ChatGPT"
21,1,0,0,0,1,0,"ChatGPT"
22,1,0,1,0,0,0,"ChatGPT"
23,1,0,1,0,0,0,"ChatGPT"
24,1,0,0,1,1,0,"ChatGPT"
25,1,0,1,0,1,0,"ChatGPT"
27,1,0,0,0,0,0,"ChatGPT"
28,1,0,0,0,0,0,"ChatGPT"
29,0,0,0,0,1,0,"ChatGPT"
32,1,0,0,0,1,0,"ChatGPT"
33,1,0,0,1,0,0,"ChatGPT"
34,1,1,0,0,1,0,"ChatGPT"
35,0,0,0,0,0,1,"ChatGPT"
36,1,0,0,0,0,0,"ChatGPT"
37,0,0,1,0,0,0,"ChatGPT"
38,1,0,0,0,1,0,"ChatGPT"
39,1,0,0,1,1,0,"ChatGPT"
40,1,0,0,1,1,0,"ChatGPT"
41,1,0,0,0,1,0,"ChatGPT"
42,1,0,0,1,1,0,"ChatGPT"
43,1,0,0,1,0,0,"ChatGPT"
44,0,0,0,0,1,0,"ChatGPT"
45,1,0,0,0,1,0,"ChatGPT"
46,1,0,0,1,0,0,"ChatGPT"
49,0,0,0,0,1,0,"ChatGPT"
51,1,0,0,1,1,0,"ChatGPT"
52,0,0,1,1,1,0,"ChatGPT"
53,0,0,1,0,0,0,"ChatGPT"
54,0,0,1,0,0,0,"ChatGPT"
55,1,0,1,0,1,0,"ChatGPT"
56,1,0,0,0,0,0,"ChatGPT"
58,1,0,0,0,0,0,"ChatGPT"
59,1,0,0,1,1,0,"ChatGPT"
60,1,0,0,0,0,0,"ChatGPT"
61,1,0,0,0,0,0,"ChatGPT"
62,1,0,0,1,1,0,"ChatGPT"
63,1,0,0,0,0,0,"ChatGPT"
64,1,0,0,0,1,0,"ChatGPT"
67,1,0,1,1,1,0,"ChatGPT"
68,0,0,0,0,1,0,"ChatGPT"
70,1,0,0,1,0,0,"ChatGPT"
71,1,0,0,0,0,0,"ChatGPT"
72,0,0,1,0,0,0,"ChatGPT"
73,1,0,0,0,0,0,"ChatGPT"
74,0,0,0,0,1,0,"ChatGPT"
75,1,0,1,0,1,0,"ChatGPT"
77,1,0,0,0,1,0,"ChatGPT"
78,0,0,0,0,1,0,"ChatGPT"
79,1,0,0,0,1,0,"ChatGPT"
80,1,0,0,0,0,0,"ChatGPT"
81,1,1,0,0,0,0,"ChatGPT"
82,1,0,0,0,0,0,"ChatGPT"
83,0,0,1,0,0,0,"ChatGPT"
85,0,0,1,0,1,0,"ChatGPT"
87,0,0,1,0,0,0,"ChatGPT"
89,1,0,0,1,0,0,"ChatGPT"
91,0,0,1,0,0,0,"ChatGPT"
92,1,0,0,0,1,0,"ChatGPT"
93,1,0,0,0,1,0,"ChatGPT"
94,1,0,0,0,0,0,"ChatGPT"
95,1,0,0,0,0,0,"ChatGPT"
96,1,0,0,0,0,0,"ChatGPT"
98,1,0,0,1,0,0,"ChatGPT"
99,0,0,0,1,0,0,"ChatGPT"
100,0,0,0,1,0,0,"ChatGPT"
101,1,0,0,0,0,0,"ChatGPT"
102,1,0,0,0,1,0,"ChatGPT"
103,1,0,0,0,0,0,"ChatGPT"
104,1,0,0,0,1,0,"ChatGPT"
105,1,0,0,0,1,0,"ChatGPT"
106,1,0,0,1,1,0,"ChatGPT"
107,1,0,0,0,1,0,"ChatGPT"
108,1,0,0,0,1,0,"ChatGPT"
109,0,0,1,0,1,0,"ChatGPT"
110,0,0,1,0,0,0,"ChatGPT"
111,0,0,0,1,1,0,"ChatGPT"
112,1,0,0,0,0,0,"ChatGPT"
113,0,0,0,1,0,0,"ChatGPT"
117,1,0,0,1,0,0,"ChatGPT"
118,1,0,0,1,0,0,"ChatGPT"
120,0,0,0,1,0,0,"ChatGPT"
121,1,0,0,1,0,0,"ChatGPT"
122,1,1,0,1,1,0,"ChatGPT"
123,1,0,0,1,1,0,"ChatGPT"
124,1,0,0,1,0,0,"ChatGPT"
125,1,0,0,1,0,0,"ChatGPT"
