"iso3","id","airpolDirectQuestion","question","Perceptions","Behavior","Policy","Health","Priority","Inclusion","surveyedCountries","source","surveyTheme","year","repeatedMeasure","countries","Economy","Region","Income.group","Lending.category"
"AGO",20,"No","Natural resource extraction, such as mining, oil drilling, or wood harvesting, can have benefits, such as jobs and revenue. But it can also pose problems for nearby communities, such as pollution or deforestation. Please tell me whether you agree or disagree with each of the following statements: [Probe for strength of opinion] A. In this country, natural resource extraction should be more tightly regulated by government to reduce the negative impacts on the environment.",0,0,1,0,0,0,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",21,"No","Natural resource extraction, such as mining, oil drilling, or wood harvesting, can have benefits, such as jobs and revenue. But it can also pose problems for nearby communities, such as pollution or deforestation. Please tell me whether you agree or disagree with each of the following statements: [Probe for strength of opinion] B. Ordinary Angolans currently have a voice in decisions about natural resource extraction that takes place near their communities.",0,0,1,0,0,0,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",16,"Yes","Which of the following is the most important environmental issue in your community today? [Read out options. If respondent mentions more than one, ask: Which of those is the most important problem?]",1,0,0,0,1,1,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",22,"No","Natural resource extraction, such as mining, oil drilling, or wood harvesting, can have benefits, such as jobs and revenue. But it can also pose problems for nearby communities, such as pollution or deforestation. Please tell me whether you agree or disagree with each of the following statements: [Probe for strength of opinion] C. Local communities currently receive a fair share of the revenue from natural resource extraction that takes place near their communities.",0,0,1,0,0,0,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",23,"No","Natural resource extraction, such as mining, oil drilling, or wood harvesting, can have benefits, such as jobs and revenue. But it can also pose problems for nearby communities, such as pollution or deforestation. Please tell me whether you agree or disagree with each of the following statements: [Probe for strength of opinion] D. In general, the benefits of resource extraction activities to local communities, such as jobs and revenue, outweigh the costs, such as pollution.",0,0,0,0,1,0,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",15,"No","How serious of a problem is pollution, such as the accumulation of trash or garbage, or damage to the quality of the air or water, in your community? Is it: [Read out options]",1,0,0,0,0,1,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"AGO",19,"No","In your opinion, should our government be doing more or less than it is currently doing to limit pollution and protect the environment in this country? [Probe for strength of opinion]",0,0,1,0,1,0,"Angola","Afrobarometer","governance","2022","","Angola","Angola","Sub-Saharan Africa","Lower middle income","IBRD"
"ALB",111,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Large industrial installation",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",105,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - asthma",1,0,0,1,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",107,"Yes","In your opinion, which of the following are or would be the most effective ways of tackling problems of air quality",0,0,1,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",116,"Yes","The European Union has developed an extensive body of legislation which establishes health based standards and objectives for a 
number of pollutants in air, called 'EU air quality standards' - Have you heard of the EU air quality standards?",1,0,1,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",12,"Yes","Please think about the area where you live now – I mean the immediate neighbourhood of your home. Do you have major, moderate or no problems with the following? Air quality",1,0,0,0,0,1,"Albania","European Quality of Life Survey","life","2016","2003; 2007; 2011","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",104,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Cardiovascular diseases (heart diseases)",1,0,0,1,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",115,"Yes","There are different ways to reduce harmful emissions into the air. In order to reduce such emissions, have you done any of the 
following in the last two years?",0,1,0,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",112,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Public authorities",0,0,1,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",101,"Yes","How informed do you feel about air quality problems in (OUR COUNTRY)",1,0,0,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",117,"Yes","The existing EU air quality standards date from 2004 and 2008. They are overall not as strict as the latest recommendations by the 
World Health Organization (WHO) of 2021 on air quality - Do you believe that the existing EU air quality standards are adequate or not?",0,0,1,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",108,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Households",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",102,"Yes","Do you think that, over the last 10 years, the air quality in (OUR COUNTRY) has …?",1,0,0,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",113,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Employers (e.g. enabling more sustainable commuting such as biking, public transport, etc.",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",103,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - Respiratory diseases (eg. Lung diseases)",1,0,0,1,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",106,"Yes","Would you say that the following consequence of air pollution is a very serious problem, a fairly serious problem, not a very serious 
problem or not a serious problem at all in (OUR COUNTRY)? - acidification (Acidification (known as acid rain, affecting forests etc.) and eutrophication (increase of organic matter in an ecosystem, such as excessive growth of algae causing fish die-offs in rivers or lakes)",1,0,0,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",110,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Fossil-fuel based energy producers",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",109,"Yes","In your opinion, is each of the following currently doing too much, doing about the right amount or not doing enough to promote good 
air quality in (OUR COUNTRY)? - Farmers",0,0,0,0,1,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"ALB",114,"Yes","In your opinion, at what level should the issue of air pollution be addressed?",0,0,1,0,0,1,"Albania","Eurobarometer 97.2","air pollution","2022","","Albania","Albania","Europe & Central Asia","Upper middle income","IBRD"
"AND",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Andorra","World Value Survey","governance","2017 - 2021","","Andorra","Andorra","Europe & Central Asia","High income",""
"ARG",7,"Yes","In the city or area where you live, are you satisfied or dissatisfied with the quality of the following: the quality of air",1,0,0,0,0,1,"Argentina","World Value Survey","governance","2017 - 2021","","Argentina","Argentina","Latin America & Caribbean","Upper middle income","IBRD"
"ARG",96,"Yes","Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Air pollution",1,0,0,0,1,1,"Argentina","Pew Global Attitudes & Trends: Spring 2018 Survey","governance","2018","2008; 2012; 2013; 2014; 2015; 2016; 2017","Argentina","Argentina","Latin America & Caribbean","Upper middle income","IBRD"
