"ID","Title"
1,"In search of fresher air: The influence of relative air quality on vacationers' perceptions of destinations' restorative qualities"
2,"The role of air quality for reaching tourism environmental sustainability: A segmentation approach based on visitors' pro-environmental behaviors"
7,"Perceptions and attitudes to air pollution in an asbestos mining town"
16,"The role of perceived pollution and health risk perception in annoyance and health symptoms: a population-based study of odorous air pollution"
17,"The role of perceived air pollution and health risk perception in health symptoms and disease: a population-based study combined with modelled levels of PM10"
18,"Perceived air quality and particulate matter pollution based on field survey data during a winter period"
22,"Public perceptions of air pollution and climate change: different manifestations, similar causes, and concerns"
23,"Current Air Pollution and Willingness to Pay for Better Air Quality: Revisiting the Temporal Reliability of the Contingent Valuation Method"
24,"Public risk perception and willingness to mitigate climate change: city smog as an example"
25,"Modeling the impacts of policy measures on resident's PM2.5 reduction behavior: an agent-based simulation analysis"
27,"Objective air quality index versus subjective perception: which has a greater impact on life satisfaction?"
28,"Do subjective well-being influence people's willingness to pay for improved air quality: evidence from China"
29,"When air quality matters: awareness, perception, and attitude of the residents in Metro Manila, Philippines"
30,"The Home Halo Effect: how Air Quality Perception is Influenced by Place Attachment"
31,"Air Quality and Visitor Behavior in US Protected Areas"
32,"Sources and Perceptions of Indoor and Ambient Air Pollution in Rural Alaska"
33,"Potential Impacts of Modifiable Behavioral and Environmental Exposures on Reducing Burden of Under-five Mortality Associated with Household Air Pollution in Nepal"
34,"Chicago residents' perceptions of air quality: objective pollution, the built environment, and neighborhood stigma theory"
35,"Air pollution and health: patterns of perception and response in Houston, 2000-2022"
36,"Risk perceptions and value of a statistical life for air pollution and traffic accidents: Evidence from Bangkok, Thailand"
37,"Air Quality in Hamilton: Who is Concerned? Perceptions from Three Neighbourhoods"
39,"Research on Analysis of Evaluation Influence Factors of Air Quality Opinions Sentiment Value and Quantification Method"
43,"Effectiveness of a theory-based mobile phone text message intervention for improving protective behaviors of pregnant women against air pollution: a randomized controlled trial"
44,"Outdoor air pollution pregnancy exposures are associated with behavioral problems in China's preschoolers"
46,"Economic losses and willingness to pay for haze: the data analysis based on 1123 residential families in Jiangsu province, China"
48,"Air pollution and its economic impacts at household level: willingness to pay for environmental services in Pakistan"
50,"The Reemerging Concern over Air Pollution in China: the Smog of the State's Efforts to Guide Public Opinion"
51,"Air Pollution Coverage, Anti-Chinese Sentiment, and Attitudes Towards Foreign Policy in South Korea"
52,"Public Acceptance of Policy Instruments: Evidence from Traffic-Related Smog Control Policies in Beijing"
53,"How do we effectively communicate air pollution to change public attitudes and behaviours? A review"
54,"Air quality and environmental protection concerns among residents in Nanchang, China"
56,"Concern over health effects of air pollution is associated to NO2 in seven European cities"
58,"Impact of air quality on students' behavior in the Educational Centers"
61,"The impact of air pollution on environmentally friendly behavior: evidence from China"
62,"No Country for Old Men. Assessing Socio-Spatial Relationships Between Air Quality Perceptions and Exposures in Southern Chile"
63,"Public perception of air pollution sources across Europe"
