"id","airpolDirectQuestion","question","Inclusion","surveyedCountries","source","surveyTheme","year","countries","iso3","category"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Austria","ISSP","environment",2020,"Austria","AUT","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Austria","ISSP","environment",2020,"Austria","AUT","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Austria","ISSP","environment",2010,"Austria","AUT","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Austria","ISSP","environment",2010,"Austria","AUT","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Australia","ISSP","environment",2020,"Australia","AUS","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Australia","ISSP","environment",2020,"Australia","AUS","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Australia","ISSP","environment",2010,"Australia","AUS","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Australia","ISSP","environment",2010,"Australia","AUS","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Switzerland","ISSP","environment",2020,"Switzerland","CHE","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Switzerland","ISSP","environment",2020,"Switzerland","CHE","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Switzerland","ISSP","environment",2010,"Switzerland","CHE","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Switzerland","ISSP","environment",2010,"Switzerland","CHE","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"China","ISSP","environment",2020,"China","CHN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"China","ISSP","environment",2020,"China","CHN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"China","ISSP","environment",2010,"China","CHN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"China","ISSP","environment",2010,"China","CHN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Germany","ISSP","environment",2020,"Germany","DEU","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Germany","ISSP","environment",2020,"Germany","DEU","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Germany","ISSP","environment",2010,"Germany","DEU","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Germany","ISSP","environment",2010,"Germany","DEU","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Denmark","ISSP","environment",2020,"Denmark","DNK","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Denmark","ISSP","environment",2020,"Denmark","DNK","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Denmark","ISSP","environment",2010,"Denmark","DNK","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Denmark","ISSP","environment",2010,"Denmark","DNK","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Spain","ISSP","environment",2020,"Spain","ESP","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Spain","ISSP","environment",2020,"Spain","ESP","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Spain","ISSP","environment",2010,"Spain","ESP","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Spain","ISSP","environment",2010,"Spain","ESP","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Finland","ISSP","environment",2020,"Finland","FIN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Finland","ISSP","environment",2020,"Finland","FIN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Finland","ISSP","environment",2010,"Finland","FIN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Finland","ISSP","environment",2010,"Finland","FIN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"France","ISSP","environment",2020,"France","FRA","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"France","ISSP","environment",2020,"France","FRA","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"France","ISSP","environment",2010,"France","FRA","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"France","ISSP","environment",2010,"France","FRA","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Croatia","ISSP","environment",2020,"Croatia","HRV","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Croatia","ISSP","environment",2020,"Croatia","HRV","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Croatia","ISSP","environment",2010,"Croatia","HRV","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Croatia","ISSP","environment",2010,"Croatia","HRV","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Hungary","ISSP","environment",2020,"Hungary","HUN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Hungary","ISSP","environment",2020,"Hungary","HUN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Hungary","ISSP","environment",2010,"Hungary","HUN","Perceptions"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"Hungary","ISSP","environment",2010,"Hungary","HUN","Priority"
1,"Yes","Here is a list of some different environmental problems. Which problem; if any; do you think is the most important for [COUNTRY] as a whole?",1,"India","ISSP","environment",2020,"India","IND","Perceptions"
