"X","DOI","Title","Authors","Year","Source.Title","Volume","Issue","Abstract","Author.Keywords","Scopus.Keywords","WOS.Keywords","Source","parsedInput","response","countriesGPT","country"
18,"10.1007/s40692-023-00305-8","A serious game for raising air pollution perception in children","Relvas, T; Mariano, P; Almeida, SM; Santana, P",2024,"JOURNAL OF COMPUTERS IN EDUCATION","12.0","1","Concerns about air pollution have increased recently. Currently, 94% of the world population face air pollution levels considered unsafe by the World Health Organization, which tells us that efforts are needed to raise people's awareness about air pollution. The use of serious games and gamification of interactive applications have raised people's perception. This work presents Problems in the Air, a game developed in Unity about air pollution, in which the player's goal is to control a character that inhabits an imaginary city tasked to monitor indoor and outdoor air pollution with sensors deployed across several city zones. While playing, children are expected to learn the possible causes of pollution in each zone and, this way, the game attempts to promote pro-environmental behaviors. This game allows educators to configure the problems that the player has to solve. Customisation is a desired feature in existing serious games as teachers often need to tailor this type of tools to their students. Pre- and post-surveys about air pollution were elaborated to evaluate air pollution perception of twenty students of an elementary school before and after playing the game, with results showing some significant positive effects. A System Usability Scale questionnaire was also performed and we obtained an acceptable mean value of 75, out of 100.","Serious game; Air pollution; Perception; Children; Educational","","","WOS","A serious game for raising air pollution perception in children Concerns about air pollution have increased recently. Currently, 94% of the world population face air pollution levels considered unsafe by the World Health Organization, which tells us that efforts are needed to raise people's awareness about air pollution. The use of serious games and gamification of interactive applications have raised people's perception. This work presents Problems in the Air, a game developed in Unity about air pollution, in which the player's goal is to control a character that inhabits an imaginary city tasked to monitor indoor and outdoor air pollution with sensors deployed across several city zones. While playing, children are expected to learn the possible causes of pollution in each zone and, this way, the game attempts to promote pro-environmental behaviors. This game allows educators to configure the problems that the player has to solve. Customisation is a desired feature in existing serious games as teachers often need to tailor this type of tools to their students. Pre- and post-surveys about air pollution were elaborated to evaluate air pollution perception of twenty students of an elementary school before and after playing the game, with results showing some significant positive effects. A System Usability Scale questionnaire was also performed and we obtained an acceptable mean value of 75, out of 100. Serious game; Air pollution; Perception; Children; Educational","```json
{
    ""countries"": []
}
```","[]","Unknown"
56,"","Air pollution awareness in the scope of the community service practices course: An interdisciplinary study; [Topluma hizmet uygulamaları dersinde hava kirliliği farkındalığı: Disiplinlerarası bir çalışma]","Aydin-Güç F.; Aygün M.; Ceylan D.; Çavuş-Güngören S.; Durukan Ü.G.; Hacioğlu Y.; Yekeler A.D.",2018,"","8.0","1","                             The aim of this study is to determine the effect of the interdisciplinary (the disciplines of Turkish, Social Science, Natural Sciences, Mathematics and Public Administration) activities performed in the scope of the Community Service Practices Course on the air pollution awareness (APW). This study has been performed as a multiple case study. Participants consisted of 32 pre-service elementary school teachers and 122 elementary school students enrolled in a 4                             th                              grade. Data were collected using the Air Pollution Awareness Questionnaire, Know-Want-Learn forms and interviews. Content analysis was used for analysis of data. The APW of participants have increased. It has been determined that the pre-service elementary school teachers have evaluated the implementation as being generally successful. Also it has been seen that the implementation has served different purposes out of the study aim for the pre-service elementary school teachers like providing teaching experience and how to teach the interdisciplinary subjects.                          © 2018, International Electronic Journal of Environmental Education. All rights reserved.","Air Pollution Awareness; Community Service Practices Course; Interdisciplinary Approach; Pre-Service Teachers; Primary School Students","","","Scopus","Air pollution awareness in the scope of the community service practices course: An interdisciplinary study; [Topluma hizmet uygulamaları dersinde hava kirliliği farkındalığı: Disiplinlerarası bir çalışma]                              The aim of this study is to determine the effect of the interdisciplinary (the disciplines of Turkish, Social Science, Natural Sciences, Mathematics and Public Administration) activities performed in the scope of the Community Service Practices Course on the air pollution awareness (APW). This study has been performed as a multiple case study. Participants consisted of 32 pre-service elementary school teachers and 122 elementary school students enrolled in a 4                             th                              grade. Data were collected using the Air Pollution Awareness Questionnaire, Know-Want-Learn forms and interviews. Content analysis was used for analysis of data. The APW of participants have increased. It has been determined that the pre-service elementary school teachers have evaluated the implementation as being generally successful. Also it has been seen that the implementation has served different purposes out of the study aim for the pre-service elementary school teachers like providing teaching experience and how to teach the interdisciplinary subjects.                          © 2018, International Electronic Journal of Environmental Education. All rights reserved. Air Pollution Awareness; Community Service Practices Course; Interdisciplinary Approach; Pre-Service Teachers; Primary School Students","```json
{
    ""countries"": []
}
```","[]","Unknown"
71,"","Air quality in teaching lab: Perception of students and analysis of Particulate Matter","Falcao, CA; Silva, LB; Torres, MGL; Souza, EL; Fernandes, JGB; Souza, RVC; Silva, JMN; Lucas, REC",2016,"OCCUPATIONAL SAFETY AND HYGIENE IV","","","The advent of new technologies, combined with the tasks carried out in air-conditioned environments for longer periods have been some of the factors responsible for the increase of indoor air pollutants. Studies indicate that Particulate Matter (PM) It is one of the main air pollutants due to their penetration potential in the organism. Air quality in teaching environments is a huge concern because students are carrying out several activities for longer periods. Thus, this paper presents an assessment of air quality in a computer lab with varying air temperature, observing the MP concentrations and the students' perception regarding the thermal comfort for 3 consecutive days. It was found that at higher temperatures the air quality was satisfactory, contrary to the opinion of the students who preferred at lower temperatures. Fisher's test indicates that the perception in relation air quality is independent of perceptions about the air temperature and ventilation.","","","SBS SYMPTOMS; INDOOR; EXPOSURE","WOS","Air quality in teaching lab: Perception of students and analysis of Particulate Matter The advent of new technologies, combined with the tasks carried out in air-conditioned environments for longer periods have been some of the factors responsible for the increase of indoor air pollutants. Studies indicate that Particulate Matter (PM) It is one of the main air pollutants due to their penetration potential in the organism. Air quality in teaching environments is a huge concern because students are carrying out several activities for longer periods. Thus, this paper presents an assessment of air quality in a computer lab with varying air temperature, observing the MP concentrations and the students' perception regarding the thermal comfort for 3 consecutive days. It was found that at higher temperatures the air quality was satisfactory, contrary to the opinion of the students who preferred at lower temperatures. Fisher's test indicates that the perception in relation air quality is independent of perceptions about the air temperature and ventilation. SBS SYMPTOMS; INDOOR; EXPOSURE","```json
{
    ""countries"": []
}
```","[]","Unknown"
82,"10.1016/j.buildenv.2022.109044","An effect of numerical data through monitoring device on perception of indoor air quality","Kong, M; Kim, H; Hong, T",2022,"BUILDING AND ENVIRONMENT","216","","Despite a growing interest in indoor air quality (IAQ), a scientific basis for human self-awareness and understanding of IAQ has yet to be provided. To fill this research gap, this study examined the effect of numerical data through monitoring devices on the occupants' perception of IAQ. Therefore, an experiment was planned to evaluate the perceived IAQ based on a self-report questionnaire among ten subjects in an office environment. The experiment was divided into three sessions, with a classification model built for each session using automated machine learning and then derived variable importance for predictor variables. Results showed that when occupants did not check the numerical data of IAQ factors, they tended to perceive IAQ based on the perceived thermal comfort. In addition, occupants made a biased judgment of the current IAQ condition based on the past perceived IAQ checked 30 min ago. When occupants checked the numerical data of IAQ factors, they responded more sensitively to IAQ factors than to thermal environment factors when perceiving IAQ conditions. The results of this study confirmed that real-time numerical data of IAQ factors measured using monitoring devices are essential for occupants to perceive and judge the current IAQ clearly.","Indoor air quality; Indoor environment quality; Perception; Perceived IAQ; Monitoring device; Variable importance analysis","Air quality; Patient monitoring; Quality control; Importance analysis; Indoor air quality; Indoor environments qualities; Monitoring device; Numerical data; Perceived indoor air quality; Quality factors; Variable importance analyse; Variable importances; air quality; environmental factor; environmental monitoring; environmental quality; indoor air; perception; Indoor air pollution","CARBON-DIOXIDE; ENVIRONMENT; EXPOSURE; IMPACT; PERFORMANCE; COMFORT; MODEL; CO2","WOS","An effect of numerical data through monitoring device on perception of indoor air quality Despite a growing interest in indoor air quality (IAQ), a scientific basis for human self-awareness and understanding of IAQ has yet to be provided. To fill this research gap, this study examined the effect of numerical data through monitoring devices on the occupants' perception of IAQ. Therefore, an experiment was planned to evaluate the perceived IAQ based on a self-report questionnaire among ten subjects in an office environment. The experiment was divided into three sessions, with a classification model built for each session using automated machine learning and then derived variable importance for predictor variables. Results showed that when occupants did not check the numerical data of IAQ factors, they tended to perceive IAQ based on the perceived thermal comfort. In addition, occupants made a biased judgment of the current IAQ condition based on the past perceived IAQ checked 30 min ago. When occupants checked the numerical data of IAQ factors, they responded more sensitively to IAQ factors than to thermal environment factors when perceiving IAQ conditions. The results of this study confirmed that real-time numerical data of IAQ factors measured using monitoring devices are essential for occupants to perceive and judge the current IAQ clearly. Indoor air quality; Indoor environment quality; Perception; Perceived IAQ; Monitoring device; Variable importance analysis Air quality; Patient monitoring; Quality control; Importance analysis; Indoor air quality; Indoor environments qualities; Monitoring device; Numerical data; Perceived indoor air quality; Quality factors; Variable importance analyse; Variable importances; air quality; environmental factor; environmental monitoring; environmental quality; indoor air; perception; Indoor air pollution CARBON-DIOXIDE; ENVIRONMENT; EXPOSURE; IMPACT; PERFORMANCE; COMFORT; MODEL; CO2","```json
{
    ""countries"": []
}
```","[]","Unknown"
93,"10.1016/j.scitotenv.2019.06.254","Assessing customers' perceived value of the anti-haze cosmetics under haze pollution","Song, Y; Guo, S; Zhang, M",2019,"SCIENCE OF THE TOTAL ENVIRONMENT","685","","Air pollution caused by haze may damage residents' skin, which affects their willingness to buy anti-haze cosmetics. Thus, this paper pays attention to residents' willingness to buy anti-haze cosmetics through customer perceived value theory. In this study, it is assumed that all consumers are rational economic people and that anti-haze cosmetics on the market can effectively cleanse, isolate and repair haze damage. Based on customer perceived value theory and the characteristic of anti-haze cosmetics, four main drivers and had been selected out, that is, monetary value, social value, brand value and perceived haze awareness. Then, based on 314 valid questionnaires, the structural equation analysis method had been used to analyze the impact of the four dimensions of customer perceived value theory on perceived value and consumers' purchase intention of anti-haze cosmetics. The empirical results showed that monetary value, social value, and perceived haze awareness had positive impact on perceived value and purchase intention of anti-haze cosmetics, while brand value only affects perceived value. Perceived value was a partial mediator between the relations of monetary value, social value, perceived haze awareness and purchase intention, while played a completely mediating role between brand value and purchase intention. Then, we also found that price sensitivity played a significant down-modulatory role in perceived value and purchase intention. Furthermore, the perceived haze awareness is the term that we first proposed in this realm, which extends and optimizes Customer Perceived Value. Finally, according to the survey results, consumers would be willing to pay an additional 56.1 yuan per month for the anti-haze effect of cosmetics. (C) 2019 Elsevier B.V. All rights reserved.","Customer perceived value theory; Purchase intention; Perceived haze awareness; Anti-haze cosmetics; Rational-economic man","Air Pollution; Commerce; Consumer Behavior; Cosmetics; Humans; Intention; Surveys and Questionnaires; Behavioral research; Cosmetics; Pollution; Purchasing; Surveys; cosmetic; Customer perceived values; Four dimensions; Mediating roles; Perceived haze awareness; Price sensitivity; Purchase intention; Rational-economic man; Structural equation analysis; assessment method; atmospheric pollution; consumption behavior; haze; perception; price dynamics; theoretical study; willingness to pay; adult; air pollution; Article; controlled study; educational status; environmental economics; environmental impact assessment; environmental protection; female; haze; human; Likert scale; priority journal; rural population; self concept; skin care; social marketing; social psychology; social responsibility; structural equation modeling; urban population; behavior; commercial phenomena; consumer attitude; questionnaire; Sales","GREEN CONSUMPTION; PARTICULATE MATTER; BRAND PRESTIGE; AIR-POLLUTION; PRICE; BEHAVIOR; QUALITY; DETERMINANTS; ANTECEDENTS; ENVIRONMENT","WOS","Assessing customers' perceived value of the anti-haze cosmetics under haze pollution Air pollution caused by haze may damage residents' skin, which affects their willingness to buy anti-haze cosmetics. Thus, this paper pays attention to residents' willingness to buy anti-haze cosmetics through customer perceived value theory. In this study, it is assumed that all consumers are rational economic people and that anti-haze cosmetics on the market can effectively cleanse, isolate and repair haze damage. Based on customer perceived value theory and the characteristic of anti-haze cosmetics, four main drivers and had been selected out, that is, monetary value, social value, brand value and perceived haze awareness. Then, based on 314 valid questionnaires, the structural equation analysis method had been used to analyze the impact of the four dimensions of customer perceived value theory on perceived value and consumers' purchase intention of anti-haze cosmetics. The empirical results showed that monetary value, social value, and perceived haze awareness had positive impact on perceived value and purchase intention of anti-haze cosmetics, while brand value only affects perceived value. Perceived value was a partial mediator between the relations of monetary value, social value, perceived haze awareness and purchase intention, while played a completely mediating role between brand value and purchase intention. Then, we also found that price sensitivity played a significant down-modulatory role in perceived value and purchase intention. Furthermore, the perceived haze awareness is the term that we first proposed in this realm, which extends and optimizes Customer Perceived Value. Finally, according to the survey results, consumers would be willing to pay an additional 56.1 yuan per month for the anti-haze effect of cosmetics. (C) 2019 Elsevier B.V. All rights reserved. Customer perceived value theory; Purchase intention; Perceived haze awareness; Anti-haze cosmetics; Rational-economic man Air Pollution; Commerce; Consumer Behavior; Cosmetics; Humans; Intention; Surveys and Questionnaires; Behavioral research; Cosmetics; Pollution; Purchasing; Surveys; cosmetic; Customer perceived values; Four dimensions; Mediating roles; Perceived haze awareness; Price sensitivity; Purchase intention; Rational-economic man; Structural equation analysis; assessment method; atmospheric pollution; consumption behavior; haze; perception; price dynamics; theoretical study; willingness to pay; adult; air pollution; Article; controlled study; educational status; environmental economics; environmental impact assessment; environmental protection; female; haze; human; Likert scale; priority journal; rural population; self concept; skin care; social marketing; social psychology; social responsibility; structural equation modeling; urban population; behavior; commercial phenomena; consumer attitude; questionnaire; Sales GREEN CONSUMPTION; PARTICULATE MATTER; BRAND PRESTIGE; AIR-POLLUTION; PRICE; BEHAVIOR; QUALITY; DETERMINANTS; ANTECEDENTS; ENVIRONMENT","```json
{
    ""countries"": []
}
```","[]","Unknown"
98,"10.9734/JPRI/2021/v33i41B32340","Assessment of Auto-rickshaw Drivers Knowledge Regarding the Effects of Air Pollution on Health and Its Prevention","Dhanvijay, R; Pohekar, S",2021,"JOURNAL OF PHARMACEUTICAL RESEARCH INTERNATIONAL","33","41B","Background: Air pollution is the major environmental pollution that contains different types of gases, dust particles, small molecules, etc. Air pollution is mainly caused by smoke or other harmful gases, such as oxides of carbon, sulfur, and nitrogen. Auto-rickshaw drivers are not only affected by air pollution, they are exposed to climatic changes, and. poor road conditions. They are exposed to air pollution, dust, infected droplets, job insecurity, noise pollution and vibration, business demands, damage to their vehicles, and, schedule-related pressure. Drivers also have the responsibility of their passengers and pedestrians-'lives and other vehicles. The objective of the study is to analyze knowledge among auto-rickshaw drivers regarding the health effects of air pollution and its prevention. Methods: An observational research methodology, a cross-sectional research design was used to perform this analysis. Probability purposive sampling technique was used to collect data from auto rickshaw drivers based on the health effects of air pollution and its prevention utilizing structured questionnaires. The sample attributes have been defined by frequency, percentage, after data collection. The Chi-square test was also used to figure out the correlation between knowledge and specified demographic variables. Results: The findings show that 1.67% of auto-rickshaw drivers had an average level of knowledge score, 38.33% of them were having good and 60 % of them were having an excellent level of knowledge score and none of them were found to have a very poor level of knowledge. The minimum knowledge score was 7 and the maximum knowledge score was 14. Hence it indicates that auto-rickshaw drivers have good knowledge about the effect of air pollution and their prevention. Conclusions: The study shows that the auto-rickshaw drivers having good knowledge about air pollution to the management of respiratory diseases and along with their complications as well as to take the required measures to avoid respiratory complications.","Effects; air pollution; prevention; auto-rickshaw drivers","","","WOS","Assessment of Auto-rickshaw Drivers Knowledge Regarding the Effects of Air Pollution on Health and Its Prevention Background: Air pollution is the major environmental pollution that contains different types of gases, dust particles, small molecules, etc. Air pollution is mainly caused by smoke or other harmful gases, such as oxides of carbon, sulfur, and nitrogen. Auto-rickshaw drivers are not only affected by air pollution, they are exposed to climatic changes, and. poor road conditions. They are exposed to air pollution, dust, infected droplets, job insecurity, noise pollution and vibration, business demands, damage to their vehicles, and, schedule-related pressure. Drivers also have the responsibility of their passengers and pedestrians-'lives and other vehicles. The objective of the study is to analyze knowledge among auto-rickshaw drivers regarding the health effects of air pollution and its prevention. Methods: An observational research methodology, a cross-sectional research design was used to perform this analysis. Probability purposive sampling technique was used to collect data from auto rickshaw drivers based on the health effects of air pollution and its prevention utilizing structured questionnaires. The sample attributes have been defined by frequency, percentage, after data collection. The Chi-square test was also used to figure out the correlation between knowledge and specified demographic variables. Results: The findings show that 1.67% of auto-rickshaw drivers had an average level of knowledge score, 38.33% of them were having good and 60 % of them were having an excellent level of knowledge score and none of them were found to have a very poor level of knowledge. The minimum knowledge score was 7 and the maximum knowledge score was 14. Hence it indicates that auto-rickshaw drivers have good knowledge about the effect of air pollution and their prevention. Conclusions: The study shows that the auto-rickshaw drivers having good knowledge about air pollution to the management of respiratory diseases and along with their complications as well as to take the required measures to avoid respiratory complications. Effects; air pollution; prevention; auto-rickshaw drivers","```json
{
    ""countries"": []
}
```","[]","Unknown"
103,"10.1371/journal.pone.0294605","Assessment of air pollution and air quality perception mismatch using mobility-based real-time exposure","Song W.; Kwan M.-P.; Huang J.",2024,"","19.0","2 February","Air pollution poses a threat to human health. Public perceptions of air pollution are important for individual self-protection and policy-making. Given the uncertainty faced by residence-based exposure (RB) measurements, this study measures individuals’ real-time mobility-based (MB) exposures and perceptions of air pollution by considering people’s daily movement. It explores how contextual uncertainties may influence the disparities in perceived air quality by taking into account RB and MB environmental factors. In addition, we explore factors that are related to the mismatch between people’s perceived air quality and actual air pollution exposure. Using K-means clustering to divide the PM2.5 values into two groups, a mismatch happens when the perceived air quality is poor but the air pollution level is lower than 15.536μg/m3 and when the perceived air quality is good but the air pollution level is higher than 15.608μg/m3. The results show that there is a mismatch between air pollution exposure and perception of air pollution. People with low income are exposed to higher air pollution. Unemployed people and people with more serious mental health symptoms (e.g., depression) have a higher chance of accurately assessing air pollution (e.g., perceiving air quality as poor when air pollution levels are high). Older people and those with a higher MB open space density tend to underestimate air pollution. Students tend to perceive air quality as good. People who are surrounded by higher MB transportation land-use density and green space density tend to perceive air quality as poor. The results can help policymakers to increase public awareness of high air pollution areas, and consider the health effects of landscapes during planning. © 2024 Song et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Aged; Air Pollutants; Air Pollution; Environmental Exposure; Humans; Particulate Matter; Perception; adult; air pollution; air quality; Article; awareness; clinical assessment; cost benefit analysis; decision making; depression; education; emotion; employment; environmental exposure; environmental factor; female; health behavior; health status; household income; human; job stress; k means clustering; lowest income group; major clinical study; male; marriage; mental disease; mental health; middle aged; mismatch repair; particle size; particulate matter; particulate matter 2.5; perception; pollution exposure; population density; questionnaire; seasonal variation; sensitivity analysis; social support; socioeconomics; unemployment; aged; air pollutant; analysis; perception","","Scopus","Assessment of air pollution and air quality perception mismatch using mobility-based real-time exposure Air pollution poses a threat to human health. Public perceptions of air pollution are important for individual self-protection and policy-making. Given the uncertainty faced by residence-based exposure (RB) measurements, this study measures individuals’ real-time mobility-based (MB) exposures and perceptions of air pollution by considering people’s daily movement. It explores how contextual uncertainties may influence the disparities in perceived air quality by taking into account RB and MB environmental factors. In addition, we explore factors that are related to the mismatch between people’s perceived air quality and actual air pollution exposure. Using K-means clustering to divide the PM2.5 values into two groups, a mismatch happens when the perceived air quality is poor but the air pollution level is lower than 15.536μg/m3 and when the perceived air quality is good but the air pollution level is higher than 15.608μg/m3. The results show that there is a mismatch between air pollution exposure and perception of air pollution. People with low income are exposed to higher air pollution. Unemployed people and people with more serious mental health symptoms (e.g., depression) have a higher chance of accurately assessing air pollution (e.g., perceiving air quality as poor when air pollution levels are high). Older people and those with a higher MB open space density tend to underestimate air pollution. Students tend to perceive air quality as good. People who are surrounded by higher MB transportation land-use density and green space density tend to perceive air quality as poor. The results can help policymakers to increase public awareness of high air pollution areas, and consider the health effects of landscapes during planning. © 2024 Song et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. Aged; Air Pollutants; Air Pollution; Environmental Exposure; Humans; Particulate Matter; Perception; adult; air pollution; air quality; Article; awareness; clinical assessment; cost benefit analysis; decision making; depression; education; emotion; employment; environmental exposure; environmental factor; female; health behavior; health status; household income; human; job stress; k means clustering; lowest income group; major clinical study; male; marriage; mental disease; mental health; middle aged; mismatch repair; particle size; particulate matter; particulate matter 2.5; perception; pollution exposure; population density; questionnaire; seasonal variation; sensitivity analysis; social support; socioeconomics; unemployment; aged; air pollutant; analysis; perception","```json
{
    ""countries"": []
}
```","[]","Unknown"
110,"10.1177/1059840515579082","Association Between State Assistance on the Topic of Indoor Air Quality and School District-Level Policies That Promote Indoor Air Quality in Schools","Everett Jones S.; Doroski B.; Glick S.",2015,"","31.0","6","Nationally representative data from the 2012 School Health Policies and Practices Study examined whether state assistance on indoor air quality (IAQ) was associated with district-level policies and practices related to IAQ and integrated pest management (IPM). Districts in states that provided assistance on IAQ were more likely than districts not in such states to (1) have an IAQ management program (p <.001); (2) require schools to conduct periodic inspections of the heating, ventilation, and air conditioning system (p <.05); of the building for cracks, leaks, or past water damage (p <.01); for mold (p <.01); for clutter that prevents effective cleaning and maintenance (p <.05); of the plumbing system (p <.01); and for condensation in and around school facilities (p <.001); (3) have an engine idling reduction program (<.001); (4) have a policy to purchase low-emitting products (p <.05); and (5) require IPM strategies (p <.05). Increasing the number of states that provide IAQ-related assistance to school districts and schools may improve school IAQ. © 2015, © The Author(s) 2015.","best practices/practice guidelines; environmental health/safety; policies/procedures; safety/injury prevention","Air Pollution, Indoor; Health Knowledge, Attitudes, Practice; Health Policy; Humans; Organizational Policy; Schools; State Government; Surveys and Questionnaires; attitude to health; government; health care policy; human; indoor air pollution; organizational policy; prevention and control; questionnaire; school","","Scopus","Association Between State Assistance on the Topic of Indoor Air Quality and School District-Level Policies That Promote Indoor Air Quality in Schools Nationally representative data from the 2012 School Health Policies and Practices Study examined whether state assistance on indoor air quality (IAQ) was associated with district-level policies and practices related to IAQ and integrated pest management (IPM). Districts in states that provided assistance on IAQ were more likely than districts not in such states to (1) have an IAQ management program (p <.001); (2) require schools to conduct periodic inspections of the heating, ventilation, and air conditioning system (p <.05); of the building for cracks, leaks, or past water damage (p <.01); for mold (p <.01); for clutter that prevents effective cleaning and maintenance (p <.05); of the plumbing system (p <.01); and for condensation in and around school facilities (p <.001); (3) have an engine idling reduction program (<.001); (4) have a policy to purchase low-emitting products (p <.05); and (5) require IPM strategies (p <.05). Increasing the number of states that provide IAQ-related assistance to school districts and schools may improve school IAQ. © 2015, © The Author(s) 2015. best practices/practice guidelines; environmental health/safety; policies/procedures; safety/injury prevention Air Pollution, Indoor; Health Knowledge, Attitudes, Practice; Health Policy; Humans; Organizational Policy; Schools; State Government; Surveys and Questionnaires; attitude to health; government; health care policy; human; indoor air pollution; organizational policy; prevention and control; questionnaire; school","```json
{
    ""countries"": []
}
```","[]","Unknown"
127,"","Awareness on risk factors of air pollution among college students - A survey","Iasya G.; Vishnu Priya V.; Gayathri R.",2019,"","11.0","7","Introduction: Air pollution is of serious concern across the globe. It is increased by rapid growth in population and increased industrialization. The aim of this study is to create awareness about the risk factors of air pollution among college students. Materials and Methods: This questionnaire based study was administered to the participants through an online survey planet link. Results and Conclusion: The majority of participants are aware of risk factors and adverse effects of air pollustion. © 2019 JPR Solutions. All rights reserved.","Air pollution; Industries; Survey planet","adult; air pollution; article; awareness; college student; female; human; human experiment; male; questionnaire; risk factor","","Scopus","Awareness on risk factors of air pollution among college students - A survey Introduction: Air pollution is of serious concern across the globe. It is increased by rapid growth in population and increased industrialization. The aim of this study is to create awareness about the risk factors of air pollution among college students. Materials and Methods: This questionnaire based study was administered to the participants through an online survey planet link. Results and Conclusion: The majority of participants are aware of risk factors and adverse effects of air pollustion. © 2019 JPR Solutions. All rights reserved. Air pollution; Industries; Survey planet adult; air pollution; article; awareness; college student; female; human; human experiment; male; questionnaire; risk factor","```json
{
    ""countries"": []
}
```","[]","Unknown"
132,"10.1123/jpah.2013-0122","Bicycle Commuting and Exposure to Air Pollution: A Questionnaire-Based Investigation of Perceptions, Symptoms, and Risk Management Strategies","Cole-Hunter, T; Morawska, L; Solomon, C",2015,"JOURNAL OF PHYSICAL ACTIVITY & HEALTH","12","4","Background: An increase in bicycle commuting participation may improve public health and traffic congestion in cities. Information on air pollution exposure (such as perception, symptoms, and risk management) contributes to the responsible promotion of bicycle commuting participation. Methods: To determine perceptions, symptoms, and willingness for specific exposure risk management strategies of exposure to air pollution, a questionnaire-based cross-sectional investigation was conducted with adult bicycle commuters (n = 153; age = 41 11 years; 28% female). Results: Frequency of acute respiratory signs and symptoms were positively associated with in-commute and postcommute compared with precommute time periods (P <.05); there was greater positive association with respiratory disorder compared with healthy, and female compared with male, participants. The perception (but not signs or symptoms) of in-commute exposure to air pollution was positively associated with the estimated level of in-commute proximity to motorized traffic. The majority of participants indicated a willingness (which varied with health status and gender) to adopt risk management strategies (with desired features) if shown to be appropriate and effective. Conclusions: While acute signs and symptoms of air pollution exposure are indicated with bicycle commuting, and more so in susceptible individuals, there is willingness to manage exposure risk by adopting effective strategies with desired features.","environment; physical activity; commute; public health; survey research","Adult; Air Pollutants; Air Pollution; Bicycling; Cities; Cross-Sectional Studies; Environmental Exposure; Female; Humans; Male; Perception; Respiratory Tract Diseases; Risk Management; Surveys and Questionnaires; Transportation; air pollutant; adult; adverse effects; air pollutant; air pollution; city; cross-sectional study; cycling; environmental exposure; female; human; male; perception; questionnaire; Respiratory Tract Diseases; risk management; traffic and transport","FINE PARTICULATE MATTER; PHYSICAL-ACTIVITY; RESPIRATORY SYMPTOMS; HEALTH-BENEFITS; CARBON-MONOXIDE; LUNG-FUNCTION; TRANSPORT; ASSOCIATION; CHILDREN; QUALITY","WOS","Bicycle Commuting and Exposure to Air Pollution: A Questionnaire-Based Investigation of Perceptions, Symptoms, and Risk Management Strategies Background: An increase in bicycle commuting participation may improve public health and traffic congestion in cities. Information on air pollution exposure (such as perception, symptoms, and risk management) contributes to the responsible promotion of bicycle commuting participation. Methods: To determine perceptions, symptoms, and willingness for specific exposure risk management strategies of exposure to air pollution, a questionnaire-based cross-sectional investigation was conducted with adult bicycle commuters (n = 153; age = 41 11 years; 28% female). Results: Frequency of acute respiratory signs and symptoms were positively associated with in-commute and postcommute compared with precommute time periods (P <.05); there was greater positive association with respiratory disorder compared with healthy, and female compared with male, participants. The perception (but not signs or symptoms) of in-commute exposure to air pollution was positively associated with the estimated level of in-commute proximity to motorized traffic. The majority of participants indicated a willingness (which varied with health status and gender) to adopt risk management strategies (with desired features) if shown to be appropriate and effective. Conclusions: While acute signs and symptoms of air pollution exposure are indicated with bicycle commuting, and more so in susceptible individuals, there is willingness to manage exposure risk by adopting effective strategies with desired features. environment; physical activity; commute; public health; survey research Adult; Air Pollutants; Air Pollution; Bicycling; Cities; Cross-Sectional Studies; Environmental Exposure; Female; Humans; Male; Perception; Respiratory Tract Diseases; Risk Management; Surveys and Questionnaires; Transportation; air pollutant; adult; adverse effects; air pollutant; air pollution; city; cross-sectional study; cycling; environmental exposure; female; human; male; perception; questionnaire; Respiratory Tract Diseases; risk management; traffic and transport FINE PARTICULATE MATTER; PHYSICAL-ACTIVITY; RESPIRATORY SYMPTOMS; HEALTH-BENEFITS; CARBON-MONOXIDE; LUNG-FUNCTION; TRANSPORT; ASSOCIATION; CHILDREN; QUALITY","```json
{
    ""countries"": []
}
```","[]","Unknown"
