"ID","DOI","Title","Authors","Year","Source.Title","Volume","Issue","Abstract","Author.Keywords","Scopus.Keywords","WOS.Keywords","Source"
558,"10.3390/ijerph20054144","A Comparison of the Effect of Facemasks on Perceived Breathability and Air Quality during Daily Activities and Indoor Exercises","Qin L.-Y.",2023,"","20.0","5","Transmission of COVID-19 occurs predominantly through respired droplets and aerosols containing the SARS-CoV-2 virus. As a solution, face masks have been used to protect against infection. Wearing face masks during indoor exercises is essential to prevent the spread of virus-containing respiratory droplets and aerosols. However, previous studies have not investigated all elements, including the users’ perceived breathability (PB) and perceived air quality (PAQ) when wearing a face mask during indoor exercises. The current study aimed to assess users’ perceived comfort (PC) of face masks based on assessment criteria of PB and PAQ during moderate to vigorous exercises, and compare them with those during normal daily activities. Data on PC, PB, and PAQ were collected from an online questionnaire survey from 104 participants doing regular moderate to vigorous exercises. Within-subjects comparison with self-controlled case series design was performed to compare PC, PB, and PAQ between wearing face masks during exercises and daily activities. Results showed that the degree of dissatisfaction with PC, PB, and PAQ while wearing face masks and performing indoor exercises is higher than when performing daily activities (p < 0.05). The significance of the study implies that masks comfortable for daily activities may not remain the same during moderate to vigorous exercises, especially during indoor exercises. © 2023 by the author.","airborne transmission; COVID-19 pandemic; face mask; indoor exercises; perceived air quality; perceived breathability; perceived comfort; self-controlled case series","Air Pollution; COVID-19; Humans; Masks; Respiratory Aerosols and Droplets; SARS-CoV-2; air quality; comparative study; COVID-19; disease transmission; physical activity; questionnaire survey; adult; air quality; Article; badminton; basketball; bowling; breathing; case study; comfort; controlled study; cycling; daily life activity; exercise; exercise intensity; female; human; male; questionnaire; satisfaction; treadmill exercise; yoga; air pollution; mask","","Scopus"
566,"10.3390/s22134707","A Survey of Deep Learning-Based Image Restoration Methods for Enhancing Situational Awareness at Disaster Sites: The Cases of Rain, Snow and Haze","Karavarsamis, S; Gkika, I; Gkitsas, V; Konstantoudakis, K; Zarpalas, D",2022,"SENSORS","22","13","This survey article is concerned with the emergence of vision augmentation AI tools for enhancing the situational awareness of first responders (FRs) in rescue operations. More specifically, the article surveys three families of image restoration methods serving the purpose of vision augmentation under adverse weather conditions. These image restoration methods are: (a) deraining; (b) desnowing; (c) dehazing ones. The contribution of this article is a survey of the recent literature on these three problem families, focusing on the utilization of deep learning (DL) models and meeting the requirements of their application in rescue operations. A faceted taxonomy is introduced in past and recent literature including various DL architectures, loss functions and datasets. Although there are multiple surveys on recovering images degraded by natural phenomena, the literature lacks a comprehensive survey focused explicitly on assisting FRs. This paper aims to fill this gap by presenting existing methods in the literature, assessing their suitability for FR applications, and providing insights for future research directions.","deraining; dehazing; desnowing; deep learning; deep neural networks","Awareness; Deep Learning; Disasters; Rain; Snow; Demulsification; Image enhancement; Image reconstruction; Restoration; Surveys; rain; snow; Adverse weather; Condition; Deep learning; Dehazing; Deraining; Desnowing; First responders; Rescue operations; Restoration methods; Situational awareness; awareness; disaster; Deep neural networks","NETWORK; REMOVAL; MODEL; COLOR; VISIBILITY; FRAMEWORK; DATASETS","WOS"
82,"10.1016/j.anai.2014.07.019","Air pollution and asthma: How can a public health concern inform the care of individual patients?","North M.L.; Alexis N.E.; Ellis A.K.; Carlsten C.",2014,"","113.0","4","[No abstract available]","","Adult; Air Pollutants; Air Pollution; Asthma; Automobiles; Disease Eradication; Female; Humans; Inflammation; Public Health; air pollutant; air pollution; asthma; environmental exposure; exercise; exhaust gas; human; patient care planning; peak expiratory flow; public health service; quality of life; questionnaire; Review; sputum analysis; adult; adverse effects; air pollutant; asthma; car; case report; disease eradication; female; inflammation; pathology; public health","","Scopus"
384,"10.1183/18106838.0603.234","Ambient air pollution and the lungs: what do clinicians need to know?","Limaye, S; Salvi, S",2010,"BREATHE","6","3","Ozone, oxides of nitrogen, sulphur dioxide and particulate matter are the important ambient air pollutants associated with adverse health effects. A large number of ambient air pollutants have been isolated from the fetal cord blood indicating that babies are exposed to air pollutants even before they are born. Children and the elderly are most susceptible to the harmful effects of ambient air pollutants. High levels of ambient air pollutants are associated with increased incidence or worsening of asthma and increased risk of developing allergic diseases, respiratory symptoms and respiratory tract infections. Mortality rates also increase in individuals with pre-existing cardiorespiratory diseases. The underlying mechanism for the harmful effects is the generation of oxidative stress which induces a strong respiratory as well as systemic inflammatory response. Individuals with genetic defects in enzymes associated with antioxidant defences seem to be particularly vulnerable to the harmful effects of air pollutants. Supplementation with antioxidants such as N-acetyl cysteine and sulforaphene has shown some protective effects in preliminary studies. High doses of vitamin C and vitamin E have shown some benefit in genetically susceptible asthmatic children. Physicians should play an important role in advocating to governments for a reduction in ambient air pollutants using innovative strategies and stricter legislation. Clearly more research is required to better understand intervention strategies to reduce morbidity and mortality due to ambient air pollutants, but in the meantime, the least we can do is to supplement diets with rich sources of antioxidants.","","","","WOS"
257,"10.1080/02770900600567114","Awareness of and compliance with air pollution advisories: A comparison of parents of asthmatics with other parents","McDermott, M; Srivastava, R; Croskell, S",2006,"JOURNAL OF ASTHMA","43","3","Objectives. To determine parents' awareness of and compliance with air pollution advisories, and to compare the awareness and compliance of parents' of asthmatics to that of other parents. Methods. Responses of 240 parents surveyed at pediatric clinic visits were compared. Results. A total of 88% of parents were aware of air pollution advisories; 71% reduced pollution and 55% restricted children's play sometimes because of advisories. However, only 7% complied with more than one third of the advisories issued. More parents of asthmatics reported awareness of alerts (p=0.002), reducing pollution (p=0.005), or restricting play sometimes in response to advisories (p=0.007). Conclusions. Most parents report awareness of and some compliance with air pollution advisories. Parents of asthmatics are more aware and somewhat more compliant than other parents.","asthma; air pollution; pediatrics; environmental health; ozone alerts","Air Pollutants; Air Pollution; Asthma; Awareness; Child; Cohort Studies; Female; Health Behavior; Health Knowledge, Attitudes, Practice; Humans; Male; Parents; Socioeconomic Factors; United States; United States Environmental Protection Agency; air pollution; article; asthma; awareness; comparative study; controlled study; health survey; human; major clinical study; parent; pediatrics","PEAK EXPIRATORY FLOW; RESPIRATORY SYMPTOMS; OZONE EXPOSURE; AMBIENT OZONE; CHILDREN; EMERGENCY; VISITS; COHORT; HEALTH","WOS"
411,"10.13225/j.cnki.jccs.PE22.0269","Chemical characteristics of particulate matter in the atmospheric environment after “coal substitution” policy in coal combustion cities and their surrounding areas; [燃煤城市及其周边地区“双代” 后大气环境颗粒物的化学特征]","Niu H.; Shi L.; Ren X.; Jin N.; Wang S.; Li S.; Hu S.; Wu C.; Lu Y.; Fan J.; Sun Y.",2022,"","47.0","12","In October 2020, the policy of “coal-to-gas” and “coal-to-electricity” was completed in Handan, a coal-burning industrial city. In order to investigate the chemical characteristics of fine particulate matter (PM2.5) after the “coal substitution” policy, the PM2.5 samples were collected in the winter of Handan during four pollution periods from 2018 to 2020 and one pollution period in the counties of Wei and Jize in 2020 to analyze the water-soluble ions and carbonaceous aerosols. In Handan, the PM2.5 concentration in the winter decreased by 40.8% in 2020, compared with the initial stage of the implementation of the “coal substitution” policy in 2015. It indicated that the implementation of the “coal substitution” policy effectively improved the air quality. During the four pollution periods, the PM2.5 was alkaline with the average mass concentrations were (153.9±97.7), (164.5±78.7), (137.3±72.9) and (161.8± 84.3) μg/ m3, respectively. The average mass concentration of PM2.5 in Wei and Jize were (123.5±47.3) and (124.5± 53.4) μg/ m3, respectively. The analysis of water-soluble ions showed that the content of SNA (NH+4, NO-3, and SO24-) was the highest, accounting for 85.3% -90.0% of the total concentration of water-soluble ions. Compared with that in the winter of 2016 in Handan, the concentration of Cl-, as a tracer of coal combustion, decreased by 48.0% after the “coal substitution” policy, explaining the good results of the “coal substitution” policy. The ratio of NO-3 to SO24- mass concentration showed that the contribution of mobile sources (vehicle exhaust) was higher than that of stationary sources (coal combustion). The carbon aerosol analysis showed that the proportion of total carbon (TC) in PM2.5 decreased by 55.2%. In all survey regions, the organic carbon (OC) to elemental carbon (EC) ratio was greater than 2, demonstrating the existence of secondary organic carbon (SOC) pollution. The results of correlation analysis and principal component analysis showed that the main sources of carbon aerosols in Handan gradually changed from coal combustion and vehicle exhaust to biomass combustion during the implementation of the “coal substitution” policy. According to the potential source analysis, the main potential source areas of Handan, Wei, and Jize were central Shanxi, northwest Shandong, and north Henan. © 2022 China Coal Society. All rights reserved.","carbonaceous aerosols; PM<sub>2.5</sub>; source apportionment; water-soluble ions; “coal substitution” policy","Aerosols; Air quality; Alkalinity; Coal; Ions; Organic carbon; Water pollution; Carbon aerosols; Carbonaceous aerosol; Chemical characteristic; Coal substitution; Mass concentration; PM 2.5; Source apportionment; Vehicle exhausts; Water-soluble ions; “coal substitution” policy; Coal combustion","","Scopus"
157,"10.1016/j.freeradbiomed.2024.02.025","Chronic exposure to PM10 induces anxiety-like behavior via exacerbating hippocampal oxidative stress","Cheng, J; Sun, J; Niu, R; Wang, XQ; Hu, GL; Li, F; Gu, KR; Wu, H; Pu, YC; Shen, FQ; Hu, H; Shen, ZX",2024,"FREE RADICAL BIOLOGY AND MEDICINE","216","","As one of the most environmental concerns, inhaled particulate matter (PM10) causes numerous health problems. However, the associations between anxiety behavior and toxicity caused by PM10 have rarely been reported so far. To investigate the changes of behavior after PM10 exposure and to identify the potential mechanisms of toxicity, PM10 samples (with doses of 15 mg/kg and 30 mg/kg) were intratracheally instilled into rats to simulate inhalation of polluted air by the lungs. After instillation for eight weeks, anxiety-like behavior was evaluated, levels of oxidative stress and morphological changes of hippocampus were measured. The behavioral results indicated that PM10 exposure induced obvious anxiety-like behavior in the open field and elevated plus maze tests. Both PM10 concentrations tested could increase whole blood viscosity and trigger hippocampal neuronal damage and oxidative stress by increasing superoxide dismutase (SOD) activities and malondialdehyde levels, and decreasing the expressions of antioxidant-related proteins (e.g., nuclear factor erythroid 2-related factor 2 (Nrf2), SOD1 and heme oxygenase 1). Furthermore, through collecting and analyzing questionnaires, the data showed that the participants experienced obvious anxiety-related emotions and negative somatic responses under heavily polluted environments, especially PM10 being the main pollutant. These results show that PM10 exposure induces anxiety-like behavior, which may be related to suppressing the Nrf2/Keap1-SOD1 pathway.","Anxiety-like behavior; Oxidative stress; Nrf2; Hippocampus","Animals; Anxiety; Hippocampus; Humans; Kelch-Like ECH-Associated Protein 1; NF-E2-Related Factor 2; Oxidative Stress; Rats; Superoxide Dismutase-1; heme oxygenase 1; malonaldehyde; superoxide dismutase; transcription factor Nrf2; copper zinc superoxide dismutase; kelch like ECH associated protein 1; transcription factor Nrf2; adult; animal experiment; animal model; animal tissue; anxiety disorder; anxiety like behavior; Article; blood viscosity; controlled study; elevated plus maze test; hippocampus; human; long term exposure; male; morphology; nerve cell lesion; nonhuman; oxidative stress; PM10 exposure; protein expression; rat; toxicity; animal; anxiety; genetics; hippocampus; metabolism","AIRBORNE PARTICULATE MATTER; AIR-POLLUTION; SIGNALING PATHWAY; IMMUNE-RESPONSE; PM2.5; HEALTH; NEUROINFLAMMATION; EXPRESSION; DEPRESSION; MORTALITY","WOS"
79,"10.1016/S1361-9209(97)00018-7","Clean air forever? A longitudinal analysis of opinions about air pollution and electric vehicles","Gould, J; Golob, TF",1998,"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","3","3","Many current initiatives to develop the electric vehicle depend upon public perception that electric vehicles (EVs) are good for the environment. This study investigates how people acquire information about the environment and EVs, and whether their opinions about environmental efficacy change over time and experience levels. These issues are explored across two data sets. The first data set is a panel survey of California households (n = 1718) and environmental opinions are tracked over two waves of survey. A decline in the environmental ethos is associated with several factors, including interpersonal communications and exposure to more specialized media. A sample of households from the panel study were subsequently chosen, among others, to participate in a 2-week long trial of EVs (n = 69). Opinions about environmental efficacy are studied as users gain first hand knowledge of an EV. Opinions about the environmental efficacy of the EV show improvement, but trial users become less likely to cite the environmental benefit as a reason for choosing the technology, and they do not change their opinions about providing policy incentives. (C) 1998 Elsevier Science Ltd. All rights reserved.","electric vehicles; longitudinal analysis; clean air; zero emission vehicles","California; USA; Air pollution; Efficiency; Environmental protection; Public policy; Social aspects; air pollution; electric vehicle; environmental perception; public attitudes; Public opinions; Zero emission vehicles; Electric vehicles","FUEL VEHICLES; CHOICE; CALIFORNIA; DEMAND; TRANSPORTATION; PREFERENCE; EMISSIONS; MARKET; ENERGY","WOS"
3,"10.1002/maco.202314026","Comparative study of alternating dry and wet corrosion behavior of Q345qDNH steel and Q420qENH steel in industrial atmospheric media containing PM2.5","Guo, TM; Zhou, GY; Wu, WH; Nan, XL; Zhang, LS; Hu, YW; Yi, XB",2024,"MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION","75","5","The corrosion behavior of Q345qDNH steel and Q420qENH steel under the industrial atmosphere containing PM2.5, as well as the effect of PM2.5 on the rust layer were studied by dry-wet alternating accelerated corrosion experiment. The results show that the corrosion rate of Q345qDNH is always less than that of Q420qENH, the Cr content of rust layer is higher than that of Q420qENH steel. After 30 days of corrosion, compared with Q420qENH steel, the self-corrosion potential of Q345qDNH is larger, the self-corrosion current density is smaller, and the rust resistance is 1.49 times of Q420qENH steel, the I alpha-FeOOH/I gamma-FeOOH ratio is 1.29 times of Q420qENH, indicating that the protection of the rust layer of Q345qDNH is better than that of Q420qENH. This is due to the effect of microstructure factors in the early stage of corrosion and alloying elements in the late stage of corrosion. PM2.5 with SiO2 as the main component is easy to deposit at cracks and holes, which becomes the nucleation substrate for corrosion products, promotes the nonuniform nucleation of corrosion products, making the rust layer develop unevenly, leading to an increase in holes in the outer rust layer.","alternating wet and dry corrosion; bridge weathering steel; industrial atmospheric environment; PM2.5","","CARBON-STEEL; WEATHERING STEEL; PARTICLES","WOS"
243,"10.1023/A:1013898732512","Development of the regional policy process for air pollution in South Asia, southern Africa and Latin America","Hicks, WK; Kuylenstierna, JCI; Mathur, V; Mazzucchelli, S; Burijson, V; Shrestha, S; Iyngararasan, M; Simukanga, S; Van Tienhoven, AM",2001,"WATER AIR AND SOIL POLLUTION","130","1-4","Projections indicate that large increases in emissions may occur in developing countries during the next twenty to fifty years if current development patterns persist. This paper describes the development of co-operation regarding air pollution issues in three sub-regions of three continents. Experiences gained through activities within a programme on Regional Air Pollution in Developing Countries are used to illustrate progress. The sub-regional process in South Asia developed through a series of meetings that led to the Male Declaration. In southern Africa a policy dialogue led to the Harare Resolution targeted towards progress in the SADC region. A policy dialogue in Buenos Aires concentrated on issues related to regional harmonisation of legal frameworks in the Mercosur region. In all regions the link between scientific information required to support decision making has been emphasised. The sub-regional policy processes are analysed in relation to availability of required scientific information and compared to the process that led to protocol development in Europe.","regional; developing countries; transboundary; policy dialogue; Male Declaration","","","WOS"
