"ID","DOI","Title","Authors","Year","Source.Title","Volume","Issue","Abstract","Author.Keywords","Scopus.Keywords","WOS.Keywords","Source"
566,"10.3390/s22134707","A Survey of Deep Learning-Based Image Restoration Methods for Enhancing Situational Awareness at Disaster Sites: The Cases of Rain, Snow and Haze","Karavarsamis, S; Gkika, I; Gkitsas, V; Konstantoudakis, K; Zarpalas, D",2022,"SENSORS","22","13","This survey article is concerned with the emergence of vision augmentation AI tools for enhancing the situational awareness of first responders (FRs) in rescue operations. More specifically, the article surveys three families of image restoration methods serving the purpose of vision augmentation under adverse weather conditions. These image restoration methods are: (a) deraining; (b) desnowing; (c) dehazing ones. The contribution of this article is a survey of the recent literature on these three problem families, focusing on the utilization of deep learning (DL) models and meeting the requirements of their application in rescue operations. A faceted taxonomy is introduced in past and recent literature including various DL architectures, loss functions and datasets. Although there are multiple surveys on recovering images degraded by natural phenomena, the literature lacks a comprehensive survey focused explicitly on assisting FRs. This paper aims to fill this gap by presenting existing methods in the literature, assessing their suitability for FR applications, and providing insights for future research directions.","deraining; dehazing; desnowing; deep learning; deep neural networks","Awareness; Deep Learning; Disasters; Rain; Snow; Demulsification; Image enhancement; Image reconstruction; Restoration; Surveys; rain; snow; Adverse weather; Condition; Deep learning; Dehazing; Deraining; Desnowing; First responders; Rescue operations; Restoration methods; Situational awareness; awareness; disaster; Deep neural networks","NETWORK; REMOVAL; MODEL; COLOR; VISIBILITY; FRAMEWORK; DATASETS","WOS"
82,"10.1016/j.anai.2014.07.019","Air pollution and asthma: How can a public health concern inform the care of individual patients?","North M.L.; Alexis N.E.; Ellis A.K.; Carlsten C.",2014,"","113.0","4","[No abstract available]","","Adult; Air Pollutants; Air Pollution; Asthma; Automobiles; Disease Eradication; Female; Humans; Inflammation; Public Health; air pollutant; air pollution; asthma; environmental exposure; exercise; exhaust gas; human; patient care planning; peak expiratory flow; public health service; quality of life; questionnaire; Review; sputum analysis; adult; adverse effects; air pollutant; asthma; car; case report; disease eradication; female; inflammation; pathology; public health","","Scopus"
524,"10.3390/ijerph15040679","Association between Four-Level Categorisation of Indoor Exposure and Perceived Indoor Air Quality","Tähtinen, K; Lappalainen, S; Karvala, K; Remes, J; Salonen, H",2018,"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","15","4","The aim of this study was to develop and test a tool for assessing urgency of indoor air quality (IAQ) measures. The condition of the 27 buildings were investigated and results were categorized. Statistical test studied the differences between the categories and the employees' complaints about their work environment. To study the employees' experiences of the work premises, a validated indoor air (IA) questionnaire was used. This study reveals a multifaceted problem: many factors affecting IAQ may also affect perceived IAQ, making it difficult to separate the impurity sources and ventilation system deficiencies affecting to employee experiences. An examination of the relationship between the categories and perceived IAQ revealed an association between the mould odour perceived by employees and mould detected by the researcher. A weak link was also found between the assessed categories and environmental complaints. However, we cannot make far-reaching conclusions regarding the assessed probability of abnormal IA exposure in the building on the basis of employee experiences. According to the results, categorising tool can partly support the assessment of the urgency for repairs when several factors that affect IAQ are taken into account.","indoor air; impurity sources; categorisation; building investigation; repair urgency; indoor air questionnaire","Adult; Air Conditioning; Air Pollution, Indoor; Environmental Exposure; Environmental Monitoring; Female; Finland; Hospitals; Humans; Male; Middle Aged; Risk Assessment; Workplace; concrete; air quality; indoor air; air quality; Article; building; dust; employee; environmental exposure; human; indoor air pollution; moisture; mould; probability; questionnaire; room temperature; room ventilation; work environment; adult; air conditioning; environmental exposure; environmental monitoring; female; Finland; hospital; indoor air pollution; male; middle aged; procedures; risk assessment; standards; statistics and numerical data; workplace","SICK-BUILDING SYNDROME; ENVIRONMENTAL-QUALITY; REPORTED SYMPTOMS; SCHOOL BUILDINGS; OFFICE BUILDINGS; MOISTURE DAMAGE; HEALTH-HAZARDS; MOLD; RISK; PERFORMANCE","WOS"
257,"10.1080/02770900600567114","Awareness of and compliance with air pollution advisories: A comparison of parents of asthmatics with other parents","McDermott, M; Srivastava, R; Croskell, S",2006,"JOURNAL OF ASTHMA","43","3","Objectives. To determine parents' awareness of and compliance with air pollution advisories, and to compare the awareness and compliance of parents' of asthmatics to that of other parents. Methods. Responses of 240 parents surveyed at pediatric clinic visits were compared. Results. A total of 88% of parents were aware of air pollution advisories; 71% reduced pollution and 55% restricted children's play sometimes because of advisories. However, only 7% complied with more than one third of the advisories issued. More parents of asthmatics reported awareness of alerts (p=0.002), reducing pollution (p=0.005), or restricting play sometimes in response to advisories (p=0.007). Conclusions. Most parents report awareness of and some compliance with air pollution advisories. Parents of asthmatics are more aware and somewhat more compliant than other parents.","asthma; air pollution; pediatrics; environmental health; ozone alerts","Air Pollutants; Air Pollution; Asthma; Awareness; Child; Cohort Studies; Female; Health Behavior; Health Knowledge, Attitudes, Practice; Humans; Male; Parents; Socioeconomic Factors; United States; United States Environmental Protection Agency; air pollution; article; asthma; awareness; comparative study; controlled study; health survey; human; major clinical study; parent; pediatrics","PEAK EXPIRATORY FLOW; RESPIRATORY SYMPTOMS; OZONE EXPOSURE; AMBIENT OZONE; CHILDREN; EMERGENCY; VISITS; COHORT; HEALTH","WOS"
157,"10.1016/j.freeradbiomed.2024.02.025","Chronic exposure to PM10 induces anxiety-like behavior via exacerbating hippocampal oxidative stress","Cheng, J; Sun, J; Niu, R; Wang, XQ; Hu, GL; Li, F; Gu, KR; Wu, H; Pu, YC; Shen, FQ; Hu, H; Shen, ZX",2024,"FREE RADICAL BIOLOGY AND MEDICINE","216","","As one of the most environmental concerns, inhaled particulate matter (PM10) causes numerous health problems. However, the associations between anxiety behavior and toxicity caused by PM10 have rarely been reported so far. To investigate the changes of behavior after PM10 exposure and to identify the potential mechanisms of toxicity, PM10 samples (with doses of 15 mg/kg and 30 mg/kg) were intratracheally instilled into rats to simulate inhalation of polluted air by the lungs. After instillation for eight weeks, anxiety-like behavior was evaluated, levels of oxidative stress and morphological changes of hippocampus were measured. The behavioral results indicated that PM10 exposure induced obvious anxiety-like behavior in the open field and elevated plus maze tests. Both PM10 concentrations tested could increase whole blood viscosity and trigger hippocampal neuronal damage and oxidative stress by increasing superoxide dismutase (SOD) activities and malondialdehyde levels, and decreasing the expressions of antioxidant-related proteins (e.g., nuclear factor erythroid 2-related factor 2 (Nrf2), SOD1 and heme oxygenase 1). Furthermore, through collecting and analyzing questionnaires, the data showed that the participants experienced obvious anxiety-related emotions and negative somatic responses under heavily polluted environments, especially PM10 being the main pollutant. These results show that PM10 exposure induces anxiety-like behavior, which may be related to suppressing the Nrf2/Keap1-SOD1 pathway.","Anxiety-like behavior; Oxidative stress; Nrf2; Hippocampus","Animals; Anxiety; Hippocampus; Humans; Kelch-Like ECH-Associated Protein 1; NF-E2-Related Factor 2; Oxidative Stress; Rats; Superoxide Dismutase-1; heme oxygenase 1; malonaldehyde; superoxide dismutase; transcription factor Nrf2; copper zinc superoxide dismutase; kelch like ECH associated protein 1; transcription factor Nrf2; adult; animal experiment; animal model; animal tissue; anxiety disorder; anxiety like behavior; Article; blood viscosity; controlled study; elevated plus maze test; hippocampus; human; long term exposure; male; morphology; nerve cell lesion; nonhuman; oxidative stress; PM10 exposure; protein expression; rat; toxicity; animal; anxiety; genetics; hippocampus; metabolism","AIRBORNE PARTICULATE MATTER; AIR-POLLUTION; SIGNALING PATHWAY; IMMUNE-RESPONSE; PM2.5; HEALTH; NEUROINFLAMMATION; EXPRESSION; DEPRESSION; MORTALITY","WOS"
79,"10.1016/S1361-9209(97)00018-7","Clean air forever? A longitudinal analysis of opinions about air pollution and electric vehicles","Gould, J; Golob, TF",1998,"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","3","3","Many current initiatives to develop the electric vehicle depend upon public perception that electric vehicles (EVs) are good for the environment. This study investigates how people acquire information about the environment and EVs, and whether their opinions about environmental efficacy change over time and experience levels. These issues are explored across two data sets. The first data set is a panel survey of California households (n = 1718) and environmental opinions are tracked over two waves of survey. A decline in the environmental ethos is associated with several factors, including interpersonal communications and exposure to more specialized media. A sample of households from the panel study were subsequently chosen, among others, to participate in a 2-week long trial of EVs (n = 69). Opinions about environmental efficacy are studied as users gain first hand knowledge of an EV. Opinions about the environmental efficacy of the EV show improvement, but trial users become less likely to cite the environmental benefit as a reason for choosing the technology, and they do not change their opinions about providing policy incentives. (C) 1998 Elsevier Science Ltd. All rights reserved.","electric vehicles; longitudinal analysis; clean air; zero emission vehicles","California; USA; Air pollution; Efficiency; Environmental protection; Public policy; Social aspects; air pollution; electric vehicle; environmental perception; public attitudes; Public opinions; Zero emission vehicles; Electric vehicles","FUEL VEHICLES; CHOICE; CALIFORNIA; DEMAND; TRANSPORTATION; PREFERENCE; EMISSIONS; MARKET; ENERGY","WOS"
589,"10.3390/su2010145","Comparative studies on vehicle related policies for air pollution reduction in ten Asian countries","Hirota K.",2010,"","2.0","1","Asian countries are facing major air pollution problems due to rapid economic growth, urbanization and motorization. Mortality and respiratory diseases caused by air pollution are believed to be endemic in major cities of these countries. Regulations and standards are the first requirement for reducing emissions from both fixed and mobile sources. This paper emphasizes monitoring problems such as vehicle registration systems, inspection and maintenance (I/M) systems and fuel quality monitoring systems for vehicles in use. Monitoring problems in developing countries share similar characteristics such as a weakness in government initiatives and inadequate operation of government agencies, which results from a lack of human resources and availability of adequate facilities. Finally, this paper proposes a method to assure air quality improvements under the different shares of emission regulations in these Asian countries and introduces an example of an evaluation method based on a policy survey to improve air quality. © 2010 by the authors.","Air pollution; Asia; Environment and development; Regulatory policies; Transportation","Air pollution; Developing countries; Economics; Monitoring; Transportation; Transportation personnel; Vehicles; Air quality improvement; Asia; Environment and development; Government initiatives; Inadequate operation; Inspection and maintenance; Regulatory policies; Vehicle registration; Air quality","","Scopus"
3,"10.1002/maco.202314026","Comparative study of alternating dry and wet corrosion behavior of Q345qDNH steel and Q420qENH steel in industrial atmospheric media containing PM2.5","Guo, TM; Zhou, GY; Wu, WH; Nan, XL; Zhang, LS; Hu, YW; Yi, XB",2024,"MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION","75","5","The corrosion behavior of Q345qDNH steel and Q420qENH steel under the industrial atmosphere containing PM2.5, as well as the effect of PM2.5 on the rust layer were studied by dry-wet alternating accelerated corrosion experiment. The results show that the corrosion rate of Q345qDNH is always less than that of Q420qENH, the Cr content of rust layer is higher than that of Q420qENH steel. After 30 days of corrosion, compared with Q420qENH steel, the self-corrosion potential of Q345qDNH is larger, the self-corrosion current density is smaller, and the rust resistance is 1.49 times of Q420qENH steel, the I alpha-FeOOH/I gamma-FeOOH ratio is 1.29 times of Q420qENH, indicating that the protection of the rust layer of Q345qDNH is better than that of Q420qENH. This is due to the effect of microstructure factors in the early stage of corrosion and alloying elements in the late stage of corrosion. PM2.5 with SiO2 as the main component is easy to deposit at cracks and holes, which becomes the nucleation substrate for corrosion products, promotes the nonuniform nucleation of corrosion products, making the rust layer develop unevenly, leading to an increase in holes in the outer rust layer.","alternating wet and dry corrosion; bridge weathering steel; industrial atmospheric environment; PM2.5","","CARBON-STEEL; WEATHERING STEEL; PARTICLES","WOS"
69,"10.1016/0010-938X(88)90050-9","Corrosion in smoke, hydrocarbon and SO2 polluted atmospheres-III. The general behaviour of zinc","Skerry B.S.; Johnson J.B.; Wood G.C.",1988,"","28.0","7","Specimens of zinc foil were exposed for up to 145 h in a modified industrial atmosphere test chamber, to an air-based environment at 298 K with a relative humidity of 85% and a CO2 concentration of 5500 ppm. Additions were made individually and in combinations of SO2 (3.5 ppm), ethane, ethylene and acetylene (8 ppm) and smoke up to 560 μg m-3 averaged concentration, so the results could be analysed by weight change, metallography, SEM/EDX and AES analysis. Smoke was very slightly corrosive to zinc and also promoted to some extent the corrosivity of SO2. Hydrocarbons only marginally affected zinc corrosion with a complex moderating or enhancing effect but, when combined with smoke or SO2, could significantly influence the corrosion effect in some cases. The results are considered in terms of electrolyte conductivity promotion by smoke particles, the dominant activity of SO2 and marginal effects due to hydrocarbon sorption on smoke particles, corrosion products and aqueous surfaces. The role of primary and secondary chemical reactions in yielding the corrosion product is considered. © 1988.","","AIR POLLUTION; HYDROCARBONS; SMOKE; SPECTROSCOPY, AUGER ELECTRON; SULFUR DIOXIDE; hydrocarbon; sulfur dioxide; air pollution; corrosion; methodology; nonhuman; short survey; smoke; POLLUTED ATMOSPHERES; SMOKE PARTICLES; ZINC AND ALLOYS","","Scopus"
10,"10.1007/BF00507073","EFFECT OF SO2 AND NH3 ON GROWTH-BEHAVIOR OF SOME PHYLLOPLANE FUNGI OF WHEAT IN INVITRO","SINGH, AK; RAI, B",1990,"WATER AIR AND SOIL POLLUTION","49","3-4","The colony growth of some phylloplane fungi of wheat viz. Alternaria alternata, Aspergillus flavus, A. niger, Cladosporium cladosporioides, Cruvularia lunata, Drechslera australiensis, Epicoccum purpuraseens, Fusarium oxysporum, Penicillum chrysogenum and P. citrinum were studied in chamber fumigation experiments exposed to 2669 .+-. 105 .mu.g SO2 m-3 and 708.33 .+-. 55 .mu.g NH3 m-3 air, separately, for 10, 30 and 60 min. The colony growth of all the test fungi was significantly (P=0.01/0.005) inhibited on prolonged period of SO2./NH3 exposure. However, some of the test fungi namely A. flavus, A. niger, E. purpurascens and F. oxysporum showed growth stimulation after 10 min exposure of SO2. Similarly, the growth of C. lunata and F. oxysporum increased only after 10 min expsoure of NH3. The inhibitory effect of SO2/NH3 was directly correlated with the exposure times.","","","","WOS"
